,unique_id,osmid,element_type,addr:housenumber,addr:postcode,addr:street,brand,brand:wikidata,cash_withdrawal,cash_withdrawal:fee,cash_withdrawal:purchase_required,cash_withdrawal:type,name,shop,website,geometry,brand:wikipedia,wheelchair,addr:city,opening_hours,access,amenity,fee,layer,parking,nodes,branch,building,operator,toilets:wheelchair,capacity:disabled,lit,maxheight,surface,level,addr:country,alt_name,internet_access,internet_access:fee,contact:addr:full,contact:phone,internet_access:ssid,phone,wheelchair:description,check_date:opening_hours,contact:addr,contact:website,operator:wikidata,addr:full,opening_hours:url,payment:cash,payment:credit_cards,payment:debit_cards,addr:housename,post_office,post_office:letter_from,post_office:parcel_from,post_office:parcel_pickup,post_office:parcel_to,source,covered,supervised,disused:shop,start_date,ele,source:addr,landuse,building:part,indoor,payment:maestro,payment:mastercard,payment:visa,departures_board,highway,network,public_transport,uic_name,uic_ref,access:covid19,changing_table,opening_hours:covid19,organic,addr:place,dog,bus,building:roof,nat_name,url,building:levels,roof:levels,changing_table:location,recycling:batteries,recycling:electrical_appliances,level:ref,smoking,payment:coins,recycling:cans,recycling:clothes,recycling:glass,recycling:paper,recycling:pe,recycling:pet,self_service,contact:city,contact:housenumber,contact:postcode,contact:street,addr:floor,check_date,payment:american_express,payment:contactless,payment:diners_club,payment:jcb,payment:postfinance_card,atm,addr:suburb,contact:facebook,contact:instagram,contact:linkedin,contact:pinterest,contact:twitter,contact:youtube,addr:street:fr,official_name,takeaway,man_made,surveillance,note,payment:visa_debit,fax,indoor_seating,outdoor_seating,capacity,payment:twint,diet:kosher,opening_date,diet:halal,copyright,oa:imported_by,oa:lat,oa:lon,oa:version,room,dogs,post_office:brand,maxstay,stroller,payment:notes,ref:FR:NAF,ref:FR:SIRET,name:de,name:en,name:fr,ways,type,entrance,description,emergency,emergency:phone,source:opening_hours,post_box:location,building:material,roof:colour,roof:shape,park_ride,delivery:covid19,smoothness,payment:cryptocurrencies,fixme,end_date,addr:state,loc_name,wikidata,payment:telephone_cards,kids_area,operator:type,toilets,toilets:access,name:it
10,way/96421886,96421886,way,,3960.0,Route des Lacustres,Migros,Q680727,,,,,Migros,supermarket,https://www.migros.ch/,"POLYGON ((7.5142471 46.2815178, 7.5139889 46.2819065, 7.5136146 46.2817623, 7.513647 46.281712, 7.5133357 46.2816104, 7.5133086 46.2816467, 7.5129316 46.2815029, 7.5130129 46.2813755, 7.5131531 46.2811691, 7.5135428 46.2812907, 7.5135377 46.2813008, 7.5138613 46.2814031, 7.5138654 46.2813955, 7.5139629 46.2814269, 7.5142471 46.2815178))",en:Migros,,,Mo-Th 09:00-18:30; Fr 09:00-20:00; Sa 09:00-17:00,,,,,,"[1117374201, 1117374194, 9426201581, 9426201580, 9426201579, 9426201578, 1117374137, 9426201576, 1117374066, 9426201577, 9426201582, 9426201584, 9426201583, 5996726864, 1117374201]",Rossfeld,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,way/220392398,220392398,way,58,,Kantonsstrasse,Migros,Q680727,postfinance_card,no,no,checkout,Migros,supermarket,,"POLYGON ((7.9687689 46.308947, 7.9697184 46.309866, 7.9697541 46.3098775, 7.9697973 46.3098793, 7.9698364 46.3098734, 7.9706833 46.3094611, 7.9702343 46.309021, 7.9702555 46.3090107, 7.9700965 46.3088549, 7.9700727 46.3088665, 7.9699855 46.3087811, 7.9699375 46.3088044, 7.9698911 46.3087589, 7.9698075 46.3087096, 7.9697141 46.3086746, 7.9696202 46.3086504, 7.9695046 46.3086392, 7.9693855 46.3086341, 7.9692664 46.3086413, 7.969139 46.3086691, 7.9690002 46.308733, 7.9687743 46.3088358, 7.9687367 46.3088877, 7.9687689 46.308947))",en:Migros,yes,,,,,,,,"[2295192130, 2295192135, 6832257636, 6832257635, 2295192139, 2295192157, 6832257606, 6832257607, 2295192159, 6832257608, 2295192162, 6832257609, 6832257610, 6832257616, 6832257611, 6832257615, 6832257614, 6832257613, 6832257612, 2295192169, 6506278943, 2295192171, 2295192173, 2295192130]",,yes,Migros,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,way/238448799,238448799,way,32,3960.0,Avenue du Général Guisan,Migros,Q680727,postfinance_card,no,no,checkout,Migros,supermarket,https://www.migros.ch/,"POLYGON ((7.528944 46.2920572, 7.5288788 46.2921858, 7.5289821 46.2922108, 7.5288615 46.2924488, 7.5292753 46.292549, 7.5292847 46.2925305, 7.5293908 46.2923211, 7.5293801 46.2923185, 7.5294443 46.292192, 7.5294504 46.2921798, 7.528944 46.2920572))",en:Migros,,,,,,,,,"[2462836608, 2462836602, 3280885431, 3280885429, 2462836603, 3280885490, 2462836605, 2462836606, 3280885488, 2462836601, 2462836608]",,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,node/279917753,279917753,node,,,,,,,,,,Migros,,,POINT (7.8524203 46.6813031),,yes,,,yes,parking_entrance,yes,,underground,,,,,,yes,yes,2.25,concrete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,node/366031755,366031755,node,,,,Migros,Q680727,postfinance_card,no,no,checkout,Migros,supermarket,,POINT (7.6816337 46.685805),en:Migros,yes,,,,,,-1.0,,,,,Migros,yes,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,node/1361216176,1361216176,node,,,,Migros,Q680727,postfinance_card,no,no,checkout,Migros,supermarket,,POINT (7.6263508 46.3790635),en:Migros,yes,,Mo-Su 08:00-18:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,node/2981397433,2981397433,node,,,,Migros,Q680727,postfinance_card,no,no,checkout,Migros,supermarket,,POINT (7.6488113 46.5856028),en:Migros,yes,,Mo-Th 08:00-19:00; Fr 08:00-21:00; Sa 08:00-17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,node/6109510017,6109510017,node,,,,Migros,Q680727,postfinance_card,no,no,checkout,Migros,supermarket,,POINT (7.8523151 46.6816129),en:Migros,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,node/9073397213,9073397213,node,,,,Migros,Q680727,,,,,Migros,supermarket,,POINT (7.8676262 46.6733163),en:Migros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,node/280528081,280528081,node,9,3013.0,Dammweg,Migros,Q680727,migros_bank;postfinance_card,no,no,checkout,Migros,supermarket,https://filialen.migros.ch/de/migros-supermarkt-bern-lorraine,POINT (7.4467039 46.9561025),de:Migros,yes,Bern,"Mo-Fr 08:00-20:00, Sa 08:00-17:00; PH off",,,,,,,Bern Lorraine,,Genossenschaft Migros Aare,,,,,,,CH,Migros Lorraine,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,node/287001910,287001910,node,,,,Migros,Q680727,migros_bank;postfinance_card,no,no,checkout,Migros,supermarket,https://filialen.migros.ch/de/migros-supermarkt-bern-marktgasse,POINT (7.4449955 46.9483633),de:Migros,yes,,Mo 09:00-19:00; Tu-We 08:00-19:00; Th 08:00-21:00; Fr 08:00-20:00; Sa 07:30-17:00; PH off,,,,,,,Bern Marktgasse,,Genossenschaft Migros Aare,,,,,,-1;0,,Migros Marktgasse (MMM),wlan,no,"Marktgasse 46, 3011 Bern",+41 58 5676300,MIGROS WiFi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,node/317466812,317466812,node,5,3110.0,Bahnhofplatz,Migros,Q680727,migros_bank;postfinance_card,no,no,checkout,Migros,supermarket,https://filialen.migros.ch/de/migros-supermarkt-muensingen,POINT (7.5601521 46.873158),de:Migros,yes,Münsingen,"Mo-Th 08:00-20:00, Fr 08:00-21:00, Sa 07:30-17:00; PH off",,,,,,,Münsingen,,Genossenschaft Migros Aare,,,,,,,CH,Migros Münsingen (MM),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,node/457957876,457957876,node,,,,Migros,Q680727,postfinance_card,no,no,checkout,Migros,supermarket,,POINT (7.6338985 46.7810635),en:Migros,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,node/479283559,479283559,node,14,3053.0,Bernstrasse,Migros,Q680727,migros_bank;postfinance_card,no,no,checkout,Migros,supermarket,https://filialen.migros.ch/de/migros-supermarkt-muenchenbuchsee-tanne,POINT (7.4512598 47.0199856),de:Migros,,Münchenbuchsee,"Mo-Fr 08:00-19:00, Sa 07:30-17:00; PH off",,,,,,,Münchenbuchsee Tanne,,Genossenschaft Migros Aare,,,,,,,,Migros Münchenbuchsee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,node/489771088,489771088,node,18,3005.0,Thunstrasse,Migros,Q680727,migros_bank;postfinance_card,no,no,checkout,Migros,supermarket,https://filialen.migros.ch/de/migros-supermarkt-bern-kirchenfeld,POINT (7.4531136 46.9422469),en:Migros,yes,Bern,"Mo-Fr 08:00-20:00, Sa 08:00-17:00; PH off",,,,,,,Bern Kirchenfeld,,Genossenschaft Migros Aare,,,,,,,,Migros Kirchenfeld,wlan,no,"Thunstrasse 18, 3005 Bern",+41 58 5675050,MIGROS WiFi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,node/529952282,529952282,node,1,3006.0,Egghölzlistrasse,Migros,Q680727,migros_bank;postfinance_card,no,no,checkout,Migros,supermarket,https://filialen.migros.ch/de/migros-supermarkt-bern-egghoelzli,POINT (7.4750949 46.9369871),de:Migros,yes,Bern,"Mo-Fr 08:00-20:00, Sa 08:00-17:00; PH off",,,,,,,Bern Egghölzli,,Genossenschaft Migros Aare,,,,,,,CH,Migros Egghölzli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,node/536500228,536500228,node,27,3400.0,Lyssachstrasse,Migros,Q680727,migros_bank;postfinance_card,no,no,checkout,Migros,supermarket,https://filialen.migros.ch/de/migros-supermarkt-burgdorf-neumarkt,POINT (7.6208073 47.0591662),en:Migros,yes,Burgdorf,Mo-We 08:00-19:00; Th 08:00-20:00; Fr 08:00-21:00; Sa 07:30-17:00; PH off,,,,,,,Burgdorf Neumarkt,,Genossenschaft Migros Aare,,,,,,,,Migros Burgdorf (MM),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,node/536764788,536764788,node,15,3015.0,Jupiterstrasse,Migros,Q680727,migros_bank;postfinance_card,no,no,checkout,Migros,supermarket,https://filialen.migros.ch/de/migros-supermarkt-bern-murifeld,POINT (7.4812674 46.9395786),de:Migros,yes,Bern,"Mo-Fr 08:00-19:00, Sa 08:00-17:00; PH off",,,,,,,Bern Murifeld,,Genossenschaft Migros Aare,,,,,,,CH,Migros Murifeld,,,,,,+41 58 567 65 00,Personal hilft gerne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,node/537955675,537955675,node,,,,,,,,,,Migros,supermarket,,POINT (7.4724059 46.9455422),,yes,,"Mo-Th 08:00-19:00; Fr 08:00-21:00; Sa 08:00-17:00; Su,PH off",,,,,,,Bern Freudenberg,,,,,,,,,,,,,,+41 58 567 40 80,,,,2022-10-19,"Giacomettistrasse 15, 3006 Bern",https://filialen.migros.ch/de/migros-supermarkt-bern-freudenberg,Q680727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,node/540757239,540757239,node,71,3014.0,Wankdorffeldstrasse,Migros,Q680727,migros_bank;postfinance_card,no,no,checkout,Migros,supermarket,https://filialen.migros.ch/de/migros-supermarkt-bern-winkelried,POINT (7.4636343 46.9657564),de:Migros,yes,Bern,"Mo-Th 08:00-19:00, Fr 08:00-20:00, Sa 08:00-17:00; PH off",,,,,,,Bern Winkelried,,Genossenschaft Migros Aare,yes,,,,,,,Migros Winkelried (MM),wlan,no,,,,,Schlüssel für WC an der Kasse holen. Mit Lift bis Toiletten fahren.,,,,,"Wankdorffeldstrasse 71, 3014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,node/601508844,601508844,node,,,,Migros,Q680727,migros_bank;postfinance_card,no,no,checkout,Migros,supermarket,,POINT (7.4569972 46.9933627),en:Migros,yes,,"Mo-Th 08:00-19:00; Fr 08:00-20:00; Sa 07:30-17:00; Su,PH off",,,,,,,Zollikofen,,Genossenschaft Migros Aare,yes,,,,,,,Migros Zollikofen,,,,+41 58 567 26 00,,,,,,https://www.migros.ch,,,https://filialen.migros.ch/de/migros-supermarkt-zollikofen,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,node/726288113,726288113,node,1,3073.0,Turbenweg,Migros,Q680727,migros_bank;postfinance_card,no,no,checkout,Migros,supermarket,https://filialen.migros.ch/de/migros-supermarkt-guemligen,POINT (7.5041936 46.9332941),de:Migros,yes,Gümligen,"Mo-Th 08:00-19:00, Fr 08:00-21:00, Sa 08:00-17:00; PH off",,,,,,,Gümligen,,Genossenschaft Migros Aare,,,,,,,CH,Migros Gümligen,,,,+41 58 5677900,,,,,,,,,,,,,Zentrum Moos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,node/831519655,831519655,node,1a,3550.0,Schlossstrasse,Migros,Q680727,migros_bank;postfinance_card,no,no,checkout,Migros,supermarket,https://filialen.migros.ch/de/migros-supermarkt-langnau-ie,POINT (7.7876463 46.9398302),de:Migros,,Langnau i. E.,"Mo-We 08:00-19:00, Th 08:00-20:00, Fr 08:00-21:30, Sa 07:30-17:00; PH off",,,,,,,Langnau im Emmental,,Genossenschaft Migros Aare,,,,,,,,Migros Langnau i.E. (MM),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,node/922783656,922783656,node,28,3123.0,Steinbachstrasse,Migros,Q680727,,,,,Migros,supermarket,https://filialen.migros.ch/de/migros-supermarkt-belp-2,POINT (7.4931656 46.8966085),de:Migros,yes,Belp,"Mo-Th 08:00-19:00, Fr 08:00-21:00, Sa 07:30-17:00; PH off",,,,,,,Belp,,Genossenschaft Migros Aare,,,,,,-1,,Migros Belp (MM),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,node/936779857,936779857,node,,,,Migros,Q680727,migros_bank;postfinance_card,no,no,checkout,Migros,supermarket,https://filialen.migros.ch/de/migros-supermarkt-wabern-chly-wabere,POINT (7.4596282 46.9224985),en:Migros,yes,,"Mo-We 08:00-19:00; Th,Fr 08:00-20:00; Sa 07:30-17:00; Su,PH closed",,,,,,,Wabern,,Genossenschaft Migros Aare,,,,,,-1,,,,,,,,+41 58 567 30 25,,2021-09-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
