,unique_id,osmid,element_type,brand,brand:wikidata,brand:wikipedia,cash_withdrawal,cash_withdrawal:fee,cash_withdrawal:purchase_required,cash_withdrawal:type,name,opening_hours,shop,geometry,addr:city,addr:housenumber,addr:postcode,addr:street,alt_name,branch,operator,website,toilets:wheelchair,wheelchair,diet:halal,diet:kosher,addr:country,phone,source,internet_access,check_date:opening_hours,addr:housename,payment:cash,payment:debit_cards,entrance,level,organic,opening_hours:covid19,payment:coins,payment:credit_cards,description,emergency,emergency:phone,nodes,building,indoor,source:opening_hours,takeaway,addr:place,check_date,access,amenity,fee,parking,layer,start_date,post_box:location,bus,ele,highway,network,public_transport,uic_name,uic_ref,wheelchair:description,operator:wikidata,name:en,internet_access:fee,contact:phone,building:material,roof:colour,building:levels,building:roof,roof:shape,maxstay,park_ride,supervised,delivery:covid19,room,maxheight,recycling:clothes,smoothness,surface,capacity:disabled,payment:cryptocurrencies,payment:maestro,payment:mastercard,payment:postfinance_card,payment:visa,name:de,lit,fixme,payment:twint,departures_board,access:covid19,changing_table,contact:website,dog,end_date,fax,addr:state,opening_hours:url,smoking,building:part,contact:addr:full,internet_access:ssid,disused:shop,recycling:batteries,contact:addr,addr:full,post_office,post_office:letter_from,post_office:parcel_from,post_office:parcel_pickup,post_office:parcel_to,level:ref,covered,self_service,contact:city,contact:housenumber,contact:postcode,contact:street,addr:floor,payment:american_express,payment:contactless,payment:diners_club,payment:jcb,source:addr,landuse,addr:suburb,changing_table:location,addr:street:fr,official_name,man_made,surveillance,loc_name,post_office:brand,nat_name,url,roof:levels,indoor_seating,outdoor_seating,capacity,opening_date,recycling:electrical_appliances,recycling:cans,recycling:glass,recycling:paper,recycling:pe,recycling:pet,dogs,atm,contact:facebook,contact:instagram,contact:linkedin,contact:pinterest,contact:twitter,contact:youtube,payment:notes,ref:FR:NAF,ref:FR:SIRET,name:fr,ways,type,note,payment:visa_debit,copyright,oa:imported_by,oa:lat,oa:lon,oa:version
10,node/1254632070,1254632070,node,Migros,Q680727,en:Migros,migros_bank;postfinance_card,no,no,checkout,Migros,"Mo-Th 08:30-19:00, Fr 08:30-21:00, Sa 08:00-17:00; PH off",supermarket,POINT (8.3282536 47.0374219),Luzern,23,6005,Langensandstrasse,Migros Schönbühl (MM),Luzern Schönbühl,Genossenschaft Migros Luzern,https://filialen.migros.ch/de/migros-supermarkt-luzern-schoenbuehl,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,node/1278535198,1278535198,node,Migros,Q680727,en:Migros,,,,,Migros,"Mo-Th 07:30-19:00, Fr 07:30-20:00, Sa 07:30-17:00; PH off",supermarket,POINT (8.4287189 47.1413116),Rotkreuz,1,6343,Buonaserstrasse,Migros Rotkreuz,Rotkreuz,Genossenschaft Migros Luzern,https://filialen.migros.ch/de/migros-supermarkt-rotkreuz,,yes,,,,,,,,Arkadenhof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,node/1334477909,1334477909,node,Migros,Q680727,,,,,,Migros,"Mo-Fr 08:00-12:15,13:30-19:00, Sa 08:00-17:00; PH off",supermarket,POINT (8.3155116 47.0605745),Luzern,2,6006,Mettenwylstrasse,Migros Partner Wesemlin,Luzern Wesemlin,Genossenschaft Migros Luzern,https://filialen.migros.ch/de/migros-partner-luzern-wesemlin,,,,,,,,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,node/1351032263,1351032263,node,Migros,Q680727,de:Migros,,,,,Migros,Mo-Fr 08:00-19:00; Fr 08:00-20:00; Sa 08:00-17:00; PH off,supermarket,POINT (8.2993724 47.0505994),Luzern,18,6003,Bruchstrasse,Migros Bruchstrasse,Luzern Bruchstrasse,Genossenschaft Migros Luzern,https://filialen.migros.ch/de/migros-supermarkt-luzern-bruchstrasse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,node/1369379077,1369379077,node,Migros,Q680727,de:Migros,migros_bank;postfinance_card,no,no,checkout,Migros,"Mo-Th 08:00-19:00, Fr 08:00-20:00, Sa 08:00-17:00; PH off",supermarket,POINT (8.274562 47.0616861),,,,,Migros Ruopigen,Ruopigen,Genossenschaft Migros Luzern,https://filialen.migros.ch/de/migros-supermarkt-ruopigen-zentrum-luzern,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,node/1411316292,1411316292,node,Migros,Q680727,de:Migros,migros_bank;postfinance_card,no,no,checkout,Migros,"Mo-Fr 08:00-20:00, Sa 08:00-19:00; PH off",supermarket,POINT (8.441276 47.0838219),Küssnacht am Rigi,11,6403,Siegwartstrasse,Migros Küssnacht am Rigi (MM),Küssnacht Rigimärt,Genossenschaft Migros Luzern,https://filialen.migros.ch/de/migros-supermarkt-kuessnacht-rigimaert,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,node/1560009340,1560009340,node,Migros,Q680727,de:Migros,migros_bank;postfinance_card,no,no,checkout,Migros,"Mo-Fr 08:00-20:00, Sa 08:00-18:00; PH off",supermarket,POINT (8.2498547 46.8968476),Sarnen,5,6060,Nelkenstrasse,Migros Sarnen (MM),Sarnen Center,Genossenschaft Migros Luzern,https://filialen.migros.ch/de/migros-supermarkt-sarnen-sarnen-center,yes,yes,,,,+41 41 666 53 33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,node/1575842960,1575842960,node,Migros,Q680727,en:Migros,migros_bank;postfinance_card,no,no,checkout,Migros,"Mo-Fr 08:00-19:00, Sa 08:00-17:00",supermarket,POINT (8.6087819 46.9999926),Brunnen,19,6440,Bahnhofplatz,Migros Brunnen,Brunnen Bahnhofsmärcht,Genossenschaft Migros Luzern,https://filialen.migros.ch/de/migros-supermarkt-brunnen-bahnhofsmaercht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,node/1611482000,1611482000,node,Migros,Q680727,de:Migros,migros_bank;postfinance_card,no,no,checkout,Migros,"Mo-Fr 07:30-20:00, Sa 07:30-18:00; PH off",supermarket,POINT (8.4152878 46.9777078),Buochs,45,6374,Ennetbürgerstrasse,Migros Buochs,Buochs,Genossenschaft Migros Luzern,https://filialen.migros.ch/de/migros-supermarkt-buochs,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,node/1665613604,1665613604,node,Migros,Q680727,de:Migros,,,,,Migros,"Mo-Fr 07:30-18:30, Sa 07:30-17:00",supermarket,POINT (8.6500017 46.8251804),Erstfeld,144,6472,Gotthardstrasse,Migros Erstfeld,Erstfeld,Genossenschaft Migros Luzern,https://filialen.migros.ch/de/migros-supermarkt-erstfeld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,node/1739677580,1739677580,node,Migros,Q680727,de:Migros,,,,,Migros,Mo-Fr 07:30-19:00; Sa 07:30-18:00; PH off,supermarket,POINT (8.3115307 46.9842701),Hergiswil NW,15,6052,Seestrasse,Migros Hergiswil,Hergiswil NW,Genossenschaft Migros Luzern,https://filialen.migros.ch/de/migros-supermarkt-hergiswil-nw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,node/1841821791,1841821791,node,Migros,Q680727,en:Migros,,,,,Migros,"Mo-Th 08:00-19:00, Fr 08:00-20:00, Sa 08:00-17:00; PH off",supermarket,POINT (8.3046528 47.0313468),Luzern,46,6005,Zihlmattweg,Migros Allmend,Luzern Allmend,Genossenschaft Migros Luzern,https://filialen.migros.ch/de/migros-supermarkt-luzern-allmend,,yes,,,,+41 41 414 48 40,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,node/2577948127,2577948127,node,Migros,Q680727,de:Migros,migros_bank;postfinance_card,no,no,checkout,Migros,"Mo-Fr 08:00-20:00, Sa 08:00-18:00; PH off",supermarket,POINT (8.7461406 47.1287297),,,,,Migros Einsiedeln (MM),Einsiedeln,Genossenschaft Migros Zürich,https://filialen.migros.ch/de/migros-supermarkt-einsiedeln,,yes,,,,+41 55 418 84 54,Migros.ch,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,node/2642259706,2642259706,node,Migros,Q680727,de:Migros,migros_bank;postfinance_card,no,no,checkout,Migros,"Mo-Th 07:30-18:30, Fr 07:30-21:00, Sa 07:30-17:00",supermarket,POINT (8.6417406 46.8796927),Altdorf UR,14,6460,Gitschenstrasse,Migros Altdorf,Altdorf UR,Genossenschaft Migros Luzern,https://filialen.migros.ch/de/migros-supermarkt-altdorf,,yes,,,,,,,2022-11-14,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,node/2778506649,2778506649,node,Migros,Q680727,en:Migros,,,,,Migros,"Mo-Fr 07:30-19:00, Sa 07:30-18:00",supermarket,POINT (8.4056705 46.8207411),Engelberg,5,6390,Klosterstrasse,Migros Engelberg,Engelberg,Genossenschaft Migros Luzern,https://filialen.migros.ch/de/migros-supermarkt-engelberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,node/2866812512,2866812512,node,Migros,Q680727,de:Migros,migros_bank;postfinance_card,no,no,checkout,Migros,"Mo-Th 08:00-19:00, Fr 08:00-20:00, Sa 08:00-18:00; PH off",supermarket,POINT (8.5509558 47.0508444),Goldau,25,6410,Parkstrasse,Migros Goldau,Goldau,Genossenschaft Migros Luzern,https://filialen.migros.ch/de/migros-supermarkt-goldau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,node/3148801527,3148801527,node,Migros,Q680727,de:Migros,migros_bank;postfinance_card,no,no,checkout,Migros,"Mo-Fr 09:00-20:00, Sa 08:00-18:00; PH off",supermarket,POINT (8.3549116 46.9654611),Stans,2,6370,Bitzistrasse,Migros Länderpark (MMM),Stans Länderpark,Genossenschaft Migros Luzern,https://filialen.migros.ch/de/migros-supermarkt-stans-laenderpark,,yes,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,node/3510810512,3510810512,node,Migros,Q680727,de:Migros,migros_bank;postfinance_card,no,no,checkout,Migros,"Mo-Th 09:00-20:00, Fr 09:00-21:00, Sa 08:00-18:00",supermarket,POINT (8.6458641 47.0154045),Ibach,18,6438,Mythencenterstrasse,Migros Mythen-Center (MMM),Ibach Mythen-Center,Genossenschaft Migros Luzern,https://filialen.migros.ch/de/migros-supermarkt-ibach-schwyz-mythen-center,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,node/3902835036,3902835036,node,Migros,Q680727,en:Migros,,,,,Migros,"Mo-Th 08:00-19:00, Fr 08:00-21:00, Sa 08:00-17:00; PH off",supermarket,POINT (8.2826546 47.0337643),Kriens,30,6010,Luzernerstrasse,Migros Kriens (MM),Kriens Hofmatt,Genossenschaft Migros Luzern,https://filialen.migros.ch/de/migros-supermarkt-kriens-hofmatt,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,node/4062279173,4062279173,node,Migros,Q680727,de:Migros,migros_bank;postfinance_card,,,,Migros,"Mo-Th 08:00-19:00, Fr 08:00-20:00, Sa 08:00-17:00; PH off",supermarket,POINT (8.2497249 47.1269137),,,,,Migros Rain,Rain,Genossenschaft Migros Luzern,https://filialen.migros.ch/de/migros-supermarkt-rain,,,,,,,,,,,yes,yes,,,,same,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,node/4931591722,4931591722,node,Migros,Q680727,de:Migros,migros_bank;postfinance_card,no,no,checkout,Migros,"Mo-Th 08:00-19:00, Fr 08:00-20:00, Sa 08:00-17:00; PH off",supermarket,POINT (8.3077943 47.0612692),Luzern,6,6004,Friedentalstrasse,Migros Schlossberg,Luzern Schlossberg,Genossenschaft Migros Luzern,https://filialen.migros.ch/de/migros-supermarkt-luzern-schlossberg,,,,,,,,,2021-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,node/5602979356,5602979356,node,Migros,Q680727,en:Migros,postfinance_card,no,no,checkout,Migros,Mo-Th 10:00-18:30; Fr 10:00-20:00; Sa 10:00-16:00,supermarket,POINT (8.3435784 47.0550399),,,,Würzenbachstrasse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,node/6088196574,6088196574,node,Migros,Q680727,de:Migros,,,,,Migros,"Mo-Th 08:00-19:00, Fr 08:00-20:00, Sa 08:00-17:00; PH off",supermarket,POINT (8.262399 47.0490532),Luzern,143,6014,Luzernerstrasse,Migros Littau Grossmatte,Littau Grossmatte,Genossenschaft Migros Luzern,https://filialen.migros.ch/de/migros-supermarkt-luzern-grossmatte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,node/6750927182,6750927182,node,Migros,Q680727,en:Migros,migros_bank;postfinance_card,no,no,checkout,Migros,"Mo-Th 07:30-19:00, Fr 07:30-20:00, Sa 08:00-17:00; PH off",supermarket,POINT (8.3009461 47.0276194),Kriens,2,6010,Am Mattenhof,Migros Kriens Mattenhof,Kriens Mattenhof,Genossenschaft Migros Luzern,https://filialen.migros.ch/de/migros-supermarkt-kriens-mattenhof,,yes,,,,,,,2022-10-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
