,Unnamed: 0,business_status,formatted_address,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,rating,reference,types,user_ratings_total,geometry.location.lat,geometry.location.lng,geometry.viewport.northeast.lat,geometry.viewport.northeast.lng,geometry.viewport.southwest.lat,geometry.viewport.southwest.lng,opening_hours.open_now,plus_code.compound_code,plus_code.global_code,price_level,permanently_closed
10,10,OPERATIONAL,"Obfelderstrasse 37, 8910 Affoltern am Albis",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/convenience_pinlet,avec,,ChIJa0A7_iwHkEcR_cg1cTUfT2I,3.6,ChIJa0A7_iwHkEcR_cg1cTUfT2I,"['convenience_store', 'supermarket', 'grocery_or_supermarket', 'store', 'point_of_interest', 'food', 'establishment']",7.0,47.2714382,8.4403033,47.27292492989272,8.441502079892722,47.27022527010728,8.438802420107278,True,7CCR+H4 Affoltern am Albis,8FVC7CCR+H4,,
11,11,OPERATIONAL,"Höflistrasse 7, 8135 Langnau am Albis",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Coop Supermarkt Langnau am Albis,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103936181746012987825"">Petru Paler</a>'], 'photo_reference': 'AW30NDzeQY5ieGd2sq_xTUJP6t7QTEcaA9HoBQn2YI9lVpx1z1_k63lo2Z5CyO1Wj2exjB0YatR5sZHu2SjS5YSwGOAI7ubBZ66yLNFMB6CRDKhQ9Vhvd1GXPCdqV9-WejTJum3naVn8dB9ZC2sxHLDuvTrr5xax0D0E0t9z6nsnSbaZmI-o', 'width': 4032}]",ChIJ5XqpauCnmkcRSu7SHa5XsOU,4.2,ChIJ5XqpauCnmkcRSu7SHa5XsOU,"['supermarket', 'grocery_or_supermarket', 'store', 'point_of_interest', 'food', 'establishment']",200.0,47.2892437,8.5397724,47.29067502989272,8.541348829892721,47.28797537010728,8.538649170107277,True,7GQQ+MW Langnau am Albis,8FVC7GQQ+MW,,
12,12,OPERATIONAL,"Zürcherstrasse 4, 8803 Rüschlikon",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Migros Supermarkt,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112118519838752162664"">Isis Sager</a>'], 'photo_reference': 'AW30NDz9NqwXlk0-iabZ4Tt0BSBbn62lHbs3T-D2aabIIyrpfBKEGK4Pj5NgYlZJzdnNmCb90sB1Xwidxr4SADv0ovc5tLyPtRNWyj2QnToUANfWgw05Z1xz9FqNZZHDbXxjrEDKMMoZMWAQ_tYP3pnn5ufjDoEK0nMtvcOYNajBrcqcoB2Y', 'width': 4032}]",ChIJ5d9-uMOnmkcROt9JmNJ8wHQ,4.4,ChIJ5d9-uMOnmkcROt9JmNJ8wHQ,"['grocery_or_supermarket', 'supermarket', 'store', 'point_of_interest', 'food', 'establishment']",696.0,47.300096,8.548924,47.30150417989273,8.550478429892722,47.29880452010728,8.547778770107278,True,8G2X+2H Rüschlikon,8FVC8G2X+2H,,
13,13,OPERATIONAL,"Im Wängli 6, 8910 Affoltern am Albis",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/gas_station-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/gas_pinlet,Coop Pronto Affoltern am Albis,"[{'height': 1036, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112815351940494185947"">Coop Affoltern am Albis</a>'], 'photo_reference': 'AW30NDwa0iLPXY-6XAW31D6j0Olov5PtyKosEBoWmlmzNZI9if7_UWlmoVnrMKShHUpengiwV1Opi7aSvs4-W_WzCHgh-J1OD8cXhdVgtpuAVp43OZKFVl-JrKeyMVYKuqy9Lm50hW-L6KFgmshniHIdXo9OEvq7PxIr4BAXl1mDAbYeaNek', 'width': 1800}]",ChIJ8XTvszoGkEcR_9pLF7bYgxU,4.2,ChIJ8XTvszoGkEcR_9pLF7bYgxU,"['gas_station', 'supermarket', 'grocery_or_supermarket', 'store', 'point_of_interest', 'food', 'establishment']",177.0,47.2840263,8.4534833,47.28541552989272,8.454861529892723,47.28271587010727,8.452161870107279,True,7FM3+J9 Affoltern am Albis,8FVC7FM3+J9,,
14,14,OPERATIONAL,"Bahnhofstrasse 6/8, 8932 Mettmenstetten",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,SPAR Supermarkt Mettmenstetten,"[{'height': 2592, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102152236623847365573"">A Google User</a>'], 'photo_reference': 'AW30NDxfIdVfs1ZqnkM0IIJ57j2JJSxPQN4UPtsN9A_N_lnWODRyGVXtog1Riswb3GQkxeJ_7AtbR4X90CNw-xG5GUMhzmCvqa67Gq0im98m65SWmrsZmZBnfTtvxRL_uae_F9ECdE9oxu-8SJznKTyFNpYrQe1Dld9AgjXiP2uXaQYxcST4', 'width': 3888}]",ChIJwc3iWeEHkEcRMXI-ZNZOjaA,4.2,ChIJwc3iWeEHkEcRMXI-ZNZOjaA,"['supermarket', 'grocery_or_supermarket', 'store', 'point_of_interest', 'food', 'establishment']",208.0,47.2437599,8.4616419,47.24497762989272,8.46302097989272,47.24227797010727,8.460321320107276,True,6FV6+GM Mettmenstetten,8FVC6FV6+GM,,
15,15,OPERATIONAL,"Obfelderstrasse 38, 8910 Affoltern am Albis",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,avec | Oil! Tankstelle,"[{'height': 2362, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118227436573595045798"">A Google User</a>'], 'photo_reference': 'AW30NDwNBuUl3OMqfdLFtssNg1mix0YG9kcXy6M36ejm3mqGPhxt7cesU482yYCCx0LiNa7vuAVZWh3zgQamF6jvezQIMaHcddZGRqTC4BG8jHHLrEjw4fx2cMitWXpiTG2p8ZQmFrUQMbFrefEvdunHE6qcWfY4JfxVgvsZ5hbX1uZC9kfy', 'width': 3543}]",ChIJE3S8b60HkEcRnNcc_OSGquY,2.7,ChIJE3S8b60HkEcRnNcc_OSGquY,"['supermarket', 'gas_station', 'grocery_or_supermarket', 'store', 'point_of_interest', 'food', 'establishment']",3.0,47.2725853,8.4388771,47.27385267989272,8.440407479892722,47.27115302010727,8.437707820107278,True,7CFQ+2H Affoltern am Albis,8FVC7CFQ+2H,,
16,16,OPERATIONAL,"Albisstrasse 3, 8932 Mettmenstetten",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Volg Mettmenstetten,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103669772678244882377"">A Google User</a>'], 'photo_reference': 'AW30NDz65kqlNIbKfA4MAOxyc4OskVXDWVsLi2TXNLQTl8p-XwP0aVOe8Yl7ynhyTbKmQNq0wGg5A6rjl_t3i8hYthTsfbUDGxD6M_aGxdr05sEQlRyCvBmmapL1iXsJGNrEtr2PgDuH-s5Vwb9SzB9ZVM2OPDiD65dEYC-dlSfKYC5MTZL-', 'width': 4032}]",ChIJSVZVLhsHkEcR4iiFe_SIXgE,4.3,ChIJSVZVLhsHkEcR4iiFe_SIXgE,"['supermarket', 'grocery_or_supermarket', 'store', 'point_of_interest', 'food', 'establishment']",115.0,47.24395149999999,8.463845,47.24531457989272,8.465230379892722,47.24261492010727,8.462530720107278,True,6FV7+HG Mettmenstetten,8FVC6FV7+HG,,
17,17,OPERATIONAL,"Alte Landstrasse 130, 8800 Thalwil",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Migros Supermarkt,"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106822290354403494588"">M. G. S.</a>'], 'photo_reference': 'AW30NDyI1x0Ng5sBjaQAqDNAI8_lkrwa0QYq38BN-7Q5rnkEu73EvHN8x-b2NjR4MIQpmacIdNAcpYNAl4o_6I2nMV10kzEri05VgV8ZdatKjvb3JQJI66PWkaoythEfqEKFORF9hWZf2VPENULLH1d0ie-4rky1Qahsib0Tkq2onaWROxrU', 'width': 4032}]",ChIJD6H0WdKnmkcRNsWBAv2Q9Lg,4.3,ChIJD6H0WdKnmkcRNsWBAv2Q9Lg,"['grocery_or_supermarket', 'supermarket', 'store', 'point_of_interest', 'food', 'establishment']",557.0,47.294187,8.564081999999999,47.29548457989272,8.565306279892722,47.29278492010727,8.562606620107278,True,7HV7+MJ Thalwil,8FVC7HV7+MJ,,
11,11,OPERATIONAL,"Jonas-Furrer-Strasse 21, 8046 Zürich",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Migros Supermarkt,"[{'height': 1960, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110289416513500182316"">A Google User</a>'], 'photo_reference': 'AW30NDxiJcon3ke6dNBQDWXzK47DVfiJ_K5WDiORed2CeRsAb88ksZctjvNrlyYfoIk8a_hw3RKEooA6OqxqTRGUFs2Bec05xb7VM7pBLYq_dGT-4-9lJJdys6WHd7qpXhgfMw4UYtTPHKV6BTh5qGyo6F2Xl7WPkndDylx0Iw_BGeZd6UqL', 'width': 4032}]",ChIJX0YjkOIKkEcRZDzIE1DlaOU,4.2,ChIJX0YjkOIKkEcRZDzIE1DlaOU,"['grocery_or_supermarket', 'supermarket', 'food', 'store', 'point_of_interest', 'establishment']",900.0,47.4200641,8.5084999,47.42138647989272,8.50997972989272,47.41868682010728,8.507280070107276,True,CGC5+2C Zürich,8FVCCGC5+2C,,
13,13,OPERATIONAL,"Ottenbacherstrasse 23, 8912 Obfelden",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Coop Supermarkt Obfelden,"[{'height': 4608, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100541480526159611455"">A Google User</a>'], 'photo_reference': 'AW30NDwm6Eq84b3hk6cfuvfB5mrsH7hrtar50sDtVEs7nirH3zdmoM5t8uxH6g_ywGWfmUyRYdSziW_ZwUcK_GLdVQ4kgnipJ4XIF3VxyGKW4GaMgMO4fJCAcB0qt9IRVztwfXwgbdFHJU6v_3Fe_nk3_BK3tn6A4uaJYrBxhn86_emaDsvf', 'width': 3456}]",ChIJR20XCHAGkEcRC3aZj3d3dHE,3.9,ChIJR20XCHAGkEcRC3aZj3d3dHE,"['supermarket', 'grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']",222.0,47.266924,8.4242246,47.26836037989272,8.425591979892722,47.26566072010728,8.422892320107279,True,7C8F+QM Obfelden,8FVC7C8F+QM,,
14,14,OPERATIONAL,"Zwillikerstrasse 4, 8908 Hedingen",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Volg & post office,"[{'height': 3096, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104778092905805994646"">Toni Tonn</a>'], 'photo_reference': 'AW30NDxWW-6RgAeiCQ-w9aTZCrcW80CzZ_-t7yz4ccm9OymI4BKdyxtWwrbQ_pSamrQ9rzrimj3QXr4rMmMe31tDKVhZ06QxQGS-2Nwr0l2N24L-4gZYFvR6xxfi7BD0vLlshmi4ul9kN9DxRjJ3N6NEq99QxsqJMjhxSuyKaDMougjl54Aq', 'width': 4128}]",ChIJRd8FZ58IkEcRrWQ9rqwsy4E,4.0,ChIJRd8FZ58IkEcRrWQ9rqwsy4E,"['supermarket', 'grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']",86.0,47.2983714,8.4477121,47.29972772989272,8.449102379892722,47.29702807010728,8.446402720107278,True,7CXX+83 Hedingen,8FVC7CXX+83,,
0,0,OPERATIONAL,"Dorfstrasse 15, 8906 Bonstetten",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,SPAR Supermarkt Bonstetten,"[{'height': 720, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117214041846670270848"">penelope lupine</a>'], 'photo_reference': 'AW30NDzQqrDIRJwaEXFHvhIbb7alHZc_pZtKtPN54KouoA1nJC_Xk7jWxmpqn1myhxLkXDVRcdLmigmEQzJpUVwB0gGFRietB7A0t3cHA4fJPwuyZgwHV83RTXxwVqEXa3HaQ8FOeM0G08jVvHihKi09ompve0y_yWUWTbl4WPMA5_2R41s9', 'width': 1280}]",ChIJAVeve_MIkEcRNMxmqY7Oeqg,4.1,ChIJAVeve_MIkEcRNMxmqY7Oeqg,"['supermarket', 'grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']",128.0,47.3149329,8.4696844,47.31632702989272,8.471023679892724,47.31362737010728,8.46832402010728,True,8F79+WV Bonstetten,8FVC8F79+WV,1.0,
1,1,OPERATIONAL,"Im Heumoos 25, 8906 Bonstetten",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Coop Supermarkt Bonstetten,"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118415658843512851265"">gianluca.centulani</a>'], 'photo_reference': 'AW30NDz_dMlVNxx_yO2ciRihu_xsIabQ_tzgDZ5CHTmj43Rznycci_hVlah_IVJxLlh8r-W4kLKjLKBLnpF53dkXzjhm9X-Xsmz4MnfzkDuq8cmfN3jijlfzU-LLG1---QCg6wXhS_HePmbuXpeR4X2fkdPZahA2DcEewR9OsdJLHjDzwdH3', 'width': 4032}]",ChIJdQ156voIkEcRWMowxAxGMpM,4.2,ChIJdQ156voIkEcRWMowxAxGMpM,"['supermarket', 'grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']",321.0,47.3242618,8.4687602,47.32561737989273,8.470387379892722,47.32291772010728,8.467687720107278,True,8FF9+PF Bonstetten,8FVC8FF9+PF,,
2,2,OPERATIONAL,"Schachenstrasse 115, 8906 Bonstetten",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Migros Partner,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110740002187693071118"">Blanka Faltýnková</a>'], 'photo_reference': 'AW30NDxBejVg11J1iSSzBNnfzSkbCqR8cH97MSAMGVClKWMiJi1lwbbqB77WR5El_5PkAaEWynnQQsrL2Mdc4F4NlGU4RtcKFgiSCCN921Z7Y_Eb6boek7b--AFEzKE2nxQSm4G9lqiovLs033dnDNJidBqSWM0oqmwWjR1LHimC7aNQ3LUM', 'width': 4032}]",ChIJH9iPzvsIkEcRGKrRIuBujB8,4.4,ChIJH9iPzvsIkEcRGKrRIuBujB8,"['supermarket', 'bakery', 'grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'health', 'establishment']",124.0,47.3253193,8.4725152,47.32665907989272,8.47394397989272,47.32395942010727,8.471244320107276,True,8FGC+4X Bonstetten,8FVC8FGC+4X,,
