,unique_id,osmid,element_type,brand,brand:wikidata,brand:wikipedia,cash_withdrawal,cash_withdrawal:fee,cash_withdrawal:purchase_required,cash_withdrawal:type,name,shop,wheelchair,geometry,opening_hours,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,contact:phone,operator,phone,nodes,building,building:levels,roof:levels,roof:shape,alt_name,branch,website,landuse,level,organic,payment:cash,payment:maestro,toilets:wheelchair,access,amenity,capacity,fee,layer,parking,wikidata,entrance,source,smoking,internet_access,start_date,payment:coins,payment:contactless,payment:credit_cards,payment:debit_cards,payment:notes,payment:telephone_cards,payment:twint,wheelchair:description,check_date:opening_hours,opening_hours:covid19,kids_area,capacity:disabled,lit,surface,disused:shop,building:roof,payment:postfinance_card,fixme,operator:type,addr:housename,toilets,diet:halal,diet:kosher,post_box:location,description,emergency,emergency:phone,indoor,source:opening_hours,takeaway,addr:place,check_date,bus,ele,highway,network,public_transport,uic_name,uic_ref,operator:wikidata,name:en,internet_access:fee,building:material,roof:colour,maxstay,park_ride,supervised,delivery:covid19,room,maxheight,smoothness,payment:cryptocurrencies,payment:mastercard,payment:visa,end_date,departures_board,access:covid19,changing_table,fax,contact:website,dog,addr:state,opening_hours:url,source:addr,building:part,contact:addr:full,internet_access:ssid,changing_table:location,recycling:batteries,contact:addr,addr:full,addr:street:fr,official_name,post_office,post_office:letter_from,post_office:parcel_from,post_office:parcel_pickup,post_office:parcel_to,man_made,surveillance,level:ref,covered,self_service,contact:city,contact:housenumber,contact:postcode,contact:street,addr:floor,payment:american_express,payment:diners_club,payment:jcb,addr:suburb,loc_name,post_office:brand
16,node/597610054,597610054,node,Migros,Q680727,en:Migros,,,,,Migros,supermarket,yes,POINT (9.6290194 47.4073439),Mo-Th 08:00-19:00; Fr 08:00-20:00; Sa 08:00-17:00,Widnau,,2,9443,Bahnhofstrasse,,,+41 58 712 77 60,,,,,,,,https://filialen.migros.ch/de/migros-supermarkt-widnau-rhydorf-center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,node/660455574,660455574,node,Migros,Q680727,en:Migros,,,,,Migros,supermarket,yes,POINT (9.4051513 47.4371841),,St. Gallen,,249,9016,Rorschacherstrasse,,Migros,,,,,,,,Neudorf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,node/1116628655,1116628655,node,Migros,Q680727,en:Migros,postfinance_card,no,no,checkout,Migros,supermarket,,POINT (9.6564603 47.3858565),"Mo-Fr 07:00-19:00; PH,Su off; Sa 07:00-17:00",,CH,1,,Hintere Kirchstrasse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,node/1365283471,1365283471,node,Migros,Q680727,,,,,,Migros,supermarket,yes,POINT (9.6513713 47.4500882),,,,,,,,Migros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,node/1492836188,1492836188,node,Migros,Q680727,en:Migros,migros_bank;postfinance_card,no,no,checkout,Migros,supermarket,yes,POINT (9.4324386 47.5125781),"Mo-Th 07:00-19:00, Fr 07:00-20:00, Sa 07:00-18:00; PH off",Arbon,,6,9320,St. Gallerstrasse,,Genossenschaft Migros Ostschweiz,,,,,,,Migros Arbon (MM),Arbon,https://filialen.migros.ch/de/migros-supermarkt-arbon,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,node/1845274474,1845274474,node,,,,,,,,Migros,,,POINT (9.5885324 47.4682761),,,,,,,,,,,,,,,,,,,,,,,,customers,parking,70,no,-1,underground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,node/1845274478,1845274478,node,Migros,Q680727,en:Migros,postfinance_card,no,no,checkout,Migros,supermarket,,POINT (9.5886872 47.4683901),Mo-Fr 07:30-19:00; Sa 07:30-17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,node/2095618278,2095618278,node,Migros,Q680727,en:Migros,postfinance_card,no,no,checkout,Migros,supermarket,yes,POINT (9.5363312 47.4388833),Mo-Fr 07:30-19:00; Sa 07:30-18:00; Su off,Heiden,,2,9410,Sonnentalstrasse,,,+41 58 712 68 20,,,,,,,,https://filialen.migros.ch/de/migros-supermarkt-heiden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,node/2619445083,2619445083,node,Migros,Q680727,en:Migros,,,,,Migros,supermarket,yes,POINT (9.3889006 47.4601989),Mo-Mi + Fr 08:00-19:00; Do 08:00-20:00; Sa 07:30-17:00,Wittenbach,,80-86,9300,Oedenhof 1c,,Migros Ostschweiz,,,,,,,,,http://filialen.migros.ch/de/#/Wittenbach/0090390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,node/3148876242,3148876242,node,Migros,Q680727,en:Migros,postfinance_card,no,no,checkout,Migros,supermarket,,POINT (9.4953346 47.4741887),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,node/3174416269,3174416269,node,,,,postfinance_card,no,no,checkout,Migros,supermarket,yes,POINT (9.3908375 47.3910729),Mo-Th 08:00-19:00; Fr 08:00-20:00; Sa 08:00-17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,node/3303882792,3303882792,node,Migros,Q680727,,,,,,Migros,supermarket,yes,POINT (9.3963374 47.4313942),Mo-Fr 08:30-19:00; Th 08:30-20:00; Sa 08:00-17:00,St.Gallen,,150,9000,Rorschacherstrasse,,Migros,,,,,,,,Grossacker,,,,,,,yes,,,,,,,Q57289203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,node/3324296281,3324296281,node,Migros,Q680727,de:Migros,,,,,Migros,supermarket,yes,POINT (9.3162485 47.4172408),"Mo-Th 08:00-19:00, Fr 08:00-21:00, Sa 07:30-17:00; PH off",Abtwil,,7,9030,Wiesenbachstrasse,,Genossenschaft Migros Ostschweiz,,,,,,,Migros Säntispark (MM),Abtwil Säntispark,https://filialen.migros.ch/de/migros-supermarkt-abtwil-saentispark,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,node/4470200077,4470200077,node,Migros,Q680727,de:Migros,,,,,Migros,supermarket,,POINT (9.5766952 47.4797204),Mo-Th 08:00-19:00; Fr 08:00-20:00; Sa 08:00-17:00; PH off,Thal,CH,4,9425,Wiesentalstrasse,,Genossenschaft Migros Ostschweiz,,,,,,,Migros Thal,Thal,https://filialen.migros.ch/de/migros-supermarkt-thal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,node/4557017489,4557017489,node,Migros,Q680727,en:Migros,postfinance_card,no,no,checkout,Migros,supermarket,yes,POINT (9.4896088 47.4784176),,Rorschach,,15,9400,Trischlistrasse,+4171 846 86 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,node/5058547354,5058547354,node,Migros,Q680727,en:Migros,postfinance_card,no,no,checkout,Migros,supermarket,yes,POINT (9.3780973 47.4252288),Mo-Fr 08:00-19:00; Sa 08:00-18:00,St. Gallen,CH,28,9000,Brühlgasse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,node/5109202521,5109202521,node,Migros,Q680727,en:Migros,postfinance_card,no,no,checkout,Migros,supermarket,,POINT (9.6504647 47.4500867),,,,,,,,Migros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,node/5371339321,5371339321,node,Migros,Q680727,en:Migros,postfinance_card,no,no,checkout,Migros,supermarket,,POINT (9.3862985 47.435286),Mo-Fr 07:30-19:00; Sa 07:30-17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,node/5531520439,5531520439,node,Migros,Q680727,en:Migros,postfinance_card,no,no,checkout,Migros,supermarket,,POINT (9.6381797 47.4312051),Mo-Fr 08:00-19:00;Sa 08:00-17:00,Au SG,CH,7,9434,Nollenhornstrasse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,node/5582222822,5582222822,node,Migros,Q680727,de:Migros,migros_bank;postfinance_card,no,no,checkout,Migros,supermarket,yes,POINT (9.3705595 47.422221),Mo-Fr 08:00-20:00; Sa 08:00-18:00,,,,,,,Genossenschaft Migros Ostschweiz,,,,,,,Migros Neumarkt (MMM),St. Gallen Neumarkt,https://filialen.migros.ch/de/migros-supermarkt-st-gallen-neumarkt,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,node/6453115183,6453115183,node,Migros,Q680727,en:Migros,,,,,Migros,supermarket,,POINT (9.5236964 47.2393916),,,,33,,Landstrasse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,way/38541254,38541254,way,Migros,Q680727,en:Migros,postfinance_card,no,no,checkout,Migros,supermarket,yes,"POLYGON ((9.4068107 47.3348611, 9.407718 47.3350783, 9.407755 47.3350069, 9.4078802 47.3350367, 9.4079939 47.3348159, 9.4072551 47.3346299, 9.4071443 47.3346043, 9.4070336 47.3345787, 9.4070207 47.3345769, 9.4069493 47.3347182, 9.4069014 47.3347072, 9.4068988 47.3347653, 9.4069218 47.3347708, 9.4069089 47.3347949, 9.406896 47.334819, 9.406836 47.3348049, 9.4068107 47.3348611))",,Appenzell,,42,9050,Zielstrasse,,Migros Ostschweiz,,"[456176147, 1726996030, 1726996024, 456176148, 456176149, 4197474294, 9011996691, 456176159, 9011996698, 9011996697, 9011996694, 9011996695, 9011996696, 9011996690, 9011996692, 9011996693, 456176147]",yes,,,,,,,,,,,,,,,,,,,,,geodieste.ch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,way/121078775,121078775,way,Migros,Q680727,en:Migros,,,,,Migros,supermarket,,"POLYGON ((9.563491 47.3157911, 9.5640756 47.3157562, 9.5640564 47.315618, 9.5640864 47.3154213, 9.5640264 47.3154143, 9.5640048 47.3152814, 9.5634399 47.3153086, 9.5634654 47.3155496, 9.563491 47.3157911))",,Oberriet,CH,56,9463,Staatsstrasse,,,,"[1356194496, 1356194495, 5805815110, 5805815109, 5805815108, 1356194472, 1356194480, 8614666881, 1356194496]",yes,,,,,,,,,,,,,,,,,,,,,GeoImage.at;filialen.migros.ch,outside,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,way/125236000,125236000,way,,,,,,,,Migros,,,"POLYGON ((9.3916758 47.4354833, 9.3908523 47.4358225, 9.3907855 47.43585, 9.3910022 47.4361025, 9.3911118 47.4361008, 9.3911667 47.436069, 9.3913233 47.4361696, 9.3920294 47.4358777, 9.39201 47.4358571, 9.3917907 47.4356222, 9.3918512 47.4355278, 9.3916758 47.4354833))",,,,,,,,,,"[1391581688, 2740169364, 1391581696, 1391581701, 1391581700, 1391581699, 1391581702, 1391581698, 1391581697, 1391581693, 1391581690, 1391581688]",yes,,,,,,,,,,,,,customers,parking,,no,,multi-storey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,way/143056634,143056634,way,Migros,Q680727,en:Migros,postfinance_card,no,no,checkout,Migros,supermarket,yes,"POLYGON ((9.4675227 47.4748911, 9.4675155 47.4748434, 9.4674916 47.4748458, 9.4674749 47.474782, 9.4674976 47.4747779, 9.4674844 47.4747173, 9.4674545 47.4747189, 9.467439 47.4746567, 9.4674677 47.4746502, 9.4674593 47.4746074, 9.4676291 47.4745896, 9.4676315 47.4746001, 9.4678001 47.4745815, 9.4677965 47.4745662, 9.4679592 47.4745508, 9.4679651 47.4745937, 9.4680058 47.4745937, 9.4680142 47.4746543, 9.4679855 47.4746591, 9.4679986 47.4747303, 9.4680321 47.4747262, 9.4680441 47.4747876, 9.468013 47.4747917, 9.4680201 47.4748305, 9.4679795 47.4748337, 9.4679831 47.4748515, 9.4680261 47.4748458, 9.4680393 47.4749234, 9.467879 47.4749461, 9.4677343 47.4749008, 9.4677152 47.4749097, 9.4676758 47.4749097, 9.4676638 47.4748806, 9.4675867 47.4748863, 9.4675227 47.4748911))",Mo-Sa 07:00-19:00,Goldach,CH,5,9403,Ulrich-Rösch-Strasse,,,,"[1565409216, 1565409167, 1565409170, 1565409078, 1565409073, 1565408987, 1565408988, 1565408950, 1565408945, 1565408917, 1565408910, 1565408913, 1565408899, 1565408892, 1565408890, 1565408911, 1565408912, 1565408947, 1565408953, 1565409010, 1565409007, 1565409082, 1565409089, 1565409133, 1565409139, 1565409176, 1565409172, 1565409238, 1565409245, 1565409222, 1565409228, 1565409225, 1565409211, 1566382689, 1565409216]",yes,,,,,,,,,,,,,,,,,,,,,,,wlan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,way/143134956,143134956,way,,,,,,,,Migros,,yes,"POLYGON ((9.4674361 47.4752721, 9.4674692 47.4749702, 9.4675913 47.4749509, 9.4677376 47.4749871, 9.4678059 47.4750066, 9.4678967 47.4750473, 9.4678762 47.4751621, 9.4674361 47.4752721))",,,,,,,,Migros,,"[1566382732, 1566382693, 5162655248, 5162655249, 5162655250, 1566382717, 1566382750, 1566382732]",,,,,,,,,,,,,,yes,parking,,no,,surface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
