,unique_id,osmid,element_type,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,brand,brand:wikidata,brand:wikipedia,cash_withdrawal,cash_withdrawal:fee,cash_withdrawal:purchase_required,cash_withdrawal:type,contact:phone,name,operator,shop,wheelchair,geometry,opening_hours,phone,nodes,building,amenity,building:levels,roof:levels,roof:shape,alt_name,branch,website,smoking,source,landuse,level,organic,payment:cash,payment:maestro,toilets:wheelchair,access,capacity,fee,layer,parking,wikidata,start_date,entrance,capacity:disabled,lit,surface,disused:shop,internet_access,addr:housename,toilets,bus,highway,public_transport,name:it,addr:suburb,toilets:access,wheelchair:description,check_date:opening_hours,opening_hours:covid19,payment:twint,payment:coins,payment:contactless,payment:credit_cards,payment:debit_cards,payment:notes,payment:telephone_cards,kids_area,payment:postfinance_card,addr:place,maxheight,building:roof,fixme,operator:type,maxstay,ele,diet:halal,diet:kosher,post_box:location,internet_access:fee,description,emergency,emergency:phone,building:material,roof:colour,indoor,delivery:covid19,room,source:opening_hours,takeaway,check_date,network,uic_name,uic_ref,operator:wikidata,name:en,smoothness,contact:website,park_ride,supervised,payment:cryptocurrencies,payment:mastercard,payment:visa,name:de,building:part,departures_board,dog,loc_name,end_date,access:covid19,changing_table,fax,addr:state,post_office,post_office:brand,contact:addr:full,internet_access:ssid,recycling:batteries,contact:addr,post_office:letter_from,post_office:parcel_from,post_office:parcel_pickup,post_office:parcel_to,recycling:electrical_appliances,level:ref,opening_hours:url,covered,self_service,contact:city,contact:housenumber,contact:postcode,contact:street,addr:floor,payment:american_express,payment:diners_club,payment:jcb,source:addr,changing_table:location,addr:full,addr:street:fr,official_name,man_made,surveillance
15,way/121078775,121078775,way,Oberriet,CH,56,9463,Staatsstrasse,Migros,Q680727,en:Migros,,,,,,Migros,,supermarket,,"POLYGON ((9.563491 47.3157911, 9.5640756 47.3157562, 9.5640564 47.315618, 9.5640864 47.3154213, 9.5640264 47.3154143, 9.5640048 47.3152814, 9.5634399 47.3153086, 9.5634654 47.3155496, 9.563491 47.3157911))",,,"[1356194496, 1356194495, 5805815110, 5805815109, 5805815108, 1356194472, 1356194480, 8614666881, 1356194496]",yes,,,,,,,,outside,GeoImage.at;filialen.migros.ch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,way/733531747,733531747,way,,,,,,,,,,,,,,Migros,,,,"POLYGON ((9.4734043 47.1639797, 9.4730038 47.1636819, 9.4721248 47.1635271, 9.4719893 47.1636721, 9.4716665 47.1643089, 9.4717213 47.1643657, 9.4724937 47.1646263, 9.4727242 47.1644421, 9.4734043 47.1639797))",,,"[6869516975, 6869516976, 6869516977, 6869516978, 6869516979, 6869516980, 6869516981, 6869516982, 6869516975]",,,,,,,,,,,retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,node/253909831,253909831,node,Altstätten,CH,2,9450,Stossstrasse,Migros,Q680727,en:Migros,,,,,,Migros,Genossenschaft Migros Ostschweiz,supermarket,yes,POINT (9.5378606 47.3773676),"Mo-Th 08:00-19:00, Fr 08:00-20:00, Sa 08:00-17:00; PH off",,,,,,,,Migros Altstätten SG,Altstätten SG,https://filialen.migros.ch/de/migros-supermarkt-altstaetten-sg,,,,-1;0,yes,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,node/276847742,276847742,node,St. Gallen,,29,9008,Bachstrasse,Migros,Q680727,en:Migros,,,,,,Migros,Genossenschaft Migros Ostschweiz,supermarket,yes,POINT (9.3920818 47.4356824),Mo-Fr 08:00-19:00; Th 08:00-21:00; Sa 07:30-17:00; PH off,,,,,,,,Migros St. Fiden (MM),St. Gallen St. Fiden,https://filialen.migros.ch/de/migros-supermarkt-st-gallen-st-fiden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,node/597610054,597610054,node,Widnau,,2,9443,Bahnhofstrasse,Migros,Q680727,en:Migros,,,,,,Migros,,supermarket,yes,POINT (9.6290194 47.4073439),Mo-Th 08:00-19:00; Fr 08:00-20:00; Sa 08:00-17:00,+41 58 712 77 60,,,,,,,,,https://filialen.migros.ch/de/migros-supermarkt-widnau-rhydorf-center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,node/660455574,660455574,node,St. Gallen,,249,9016,Rorschacherstrasse,Migros,Q680727,en:Migros,,,,,,Migros,Migros,supermarket,yes,POINT (9.4051513 47.4371841),,,,,,,,,,Neudorf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,node/1116628655,1116628655,node,,CH,1,,Hintere Kirchstrasse,Migros,Q680727,en:Migros,postfinance_card,no,no,checkout,,Migros,,supermarket,,POINT (9.6564603 47.3858565),"Mo-Fr 07:00-19:00; PH,Su off; Sa 07:00-17:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,node/1365283471,1365283471,node,,,,,,Migros,Q680727,,,,,,,Migros,Migros,supermarket,yes,POINT (9.6513713 47.4500882),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,node/1492836188,1492836188,node,Arbon,,6,9320,St. Gallerstrasse,Migros,Q680727,en:Migros,migros_bank;postfinance_card,no,no,checkout,,Migros,Genossenschaft Migros Ostschweiz,supermarket,yes,POINT (9.4324386 47.5125781),"Mo-Th 07:00-19:00, Fr 07:00-20:00, Sa 07:00-18:00; PH off",,,,,,,,Migros Arbon (MM),Arbon,https://filialen.migros.ch/de/migros-supermarkt-arbon,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,node/1845274474,1845274474,node,,,,,,,,,,,,,,Migros,,,,POINT (9.5885324 47.4682761),,,,,parking,,,,,,,,,,,,,,,customers,70,no,-1,underground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,node/1845274478,1845274478,node,,,,,,Migros,Q680727,en:Migros,postfinance_card,no,no,checkout,,Migros,,supermarket,,POINT (9.5886872 47.4683901),Mo-Fr 07:30-19:00; Sa 07:30-17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,node/2045161980,2045161980,node,Romanshorn,,54a,8590,Bahnhofstrasse,Migros,Q680727,en:Migros,migros_bank;postfinance_card,no,no,checkout,,Migros,Genossenschaft Migros Ostschweiz,supermarket,yes,POINT (9.3668176 47.5642867),"Mo-Fr 08:00-19:00, Sa 08:00-18:00; PH off",,,,,,,,Migros Romanshorn (MM),Romanshorn Hubzelg,https://filialen.migros.ch/de/migros-supermarkt-romanshorn-hubzelg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,node/2095618278,2095618278,node,Heiden,,2,9410,Sonnentalstrasse,Migros,Q680727,en:Migros,postfinance_card,no,no,checkout,,Migros,,supermarket,yes,POINT (9.5363312 47.4388833),Mo-Fr 07:30-19:00; Sa 07:30-18:00; Su off,+41 58 712 68 20,,,,,,,,,https://filialen.migros.ch/de/migros-supermarkt-heiden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,node/2619445083,2619445083,node,Wittenbach,,80-86,9300,Oedenhof 1c,Migros,Q680727,en:Migros,,,,,,Migros,Migros Ostschweiz,supermarket,yes,POINT (9.3889006 47.4601989),Mo-Mi + Fr 08:00-19:00; Do 08:00-20:00; Sa 07:30-17:00,,,,,,,,,,http://filialen.migros.ch/de/#/Wittenbach/0090390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,node/3148876242,3148876242,node,,,,,,Migros,Q680727,en:Migros,postfinance_card,no,no,checkout,,Migros,,supermarket,,POINT (9.4953346 47.4741887),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,node/3174416269,3174416269,node,,,,,,,,,postfinance_card,no,no,checkout,,Migros,,supermarket,yes,POINT (9.3908375 47.3910729),Mo-Th 08:00-19:00; Fr 08:00-20:00; Sa 08:00-17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,node/3303882792,3303882792,node,St.Gallen,,150,9000,Rorschacherstrasse,Migros,Q680727,,,,,,,Migros,Migros,supermarket,yes,POINT (9.3963374 47.4313942),Mo-Fr 08:30-19:00; Th 08:30-20:00; Sa 08:00-17:00,,,,,,,,,Grossacker,,,,,,,,,yes,,,,,,Q57289203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,node/3324296281,3324296281,node,Abtwil,,7,9030,Wiesenbachstrasse,Migros,Q680727,de:Migros,,,,,,Migros,Genossenschaft Migros Ostschweiz,supermarket,yes,POINT (9.3162485 47.4172408),"Mo-Th 08:00-19:00, Fr 08:00-21:00, Sa 07:30-17:00; PH off",,,,,,,,Migros Säntispark (MM),Abtwil Säntispark,https://filialen.migros.ch/de/migros-supermarkt-abtwil-saentispark,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,node/4470200077,4470200077,node,Thal,CH,4,9425,Wiesentalstrasse,Migros,Q680727,de:Migros,,,,,,Migros,Genossenschaft Migros Ostschweiz,supermarket,,POINT (9.5766952 47.4797204),Mo-Th 08:00-19:00; Fr 08:00-20:00; Sa 08:00-17:00; PH off,,,,,,,,Migros Thal,Thal,https://filialen.migros.ch/de/migros-supermarkt-thal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,node/4557017489,4557017489,node,Rorschach,,15,9400,Trischlistrasse,Migros,Q680727,en:Migros,postfinance_card,no,no,checkout,+4171 846 86 11,Migros,,supermarket,yes,POINT (9.4896088 47.4784176),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,node/5058547354,5058547354,node,St. Gallen,CH,28,9000,Brühlgasse,Migros,Q680727,en:Migros,postfinance_card,no,no,checkout,,Migros,,supermarket,yes,POINT (9.3780973 47.4252288),Mo-Fr 08:00-19:00; Sa 08:00-18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,node/5109202521,5109202521,node,,,,,,Migros,Q680727,en:Migros,postfinance_card,no,no,checkout,,Migros,Migros,supermarket,,POINT (9.6504647 47.4500867),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,node/5371339321,5371339321,node,,,,,,Migros,Q680727,en:Migros,postfinance_card,no,no,checkout,,Migros,,supermarket,,POINT (9.3862985 47.435286),Mo-Fr 07:30-19:00; Sa 07:30-17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,node/5531520439,5531520439,node,Au SG,CH,7,9434,Nollenhornstrasse,Migros,Q680727,en:Migros,postfinance_card,no,no,checkout,,Migros,,supermarket,,POINT (9.6381797 47.4312051),Mo-Fr 08:00-19:00;Sa 08:00-17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,node/5582222822,5582222822,node,,,,,,Migros,Q680727,de:Migros,migros_bank;postfinance_card,no,no,checkout,,Migros,Genossenschaft Migros Ostschweiz,supermarket,yes,POINT (9.3705595 47.422221),Mo-Fr 08:00-20:00; Sa 08:00-18:00,,,,,,,,Migros Neumarkt (MMM),St. Gallen Neumarkt,https://filialen.migros.ch/de/migros-supermarkt-st-gallen-neumarkt,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,node/6821809534,6821809534,node,Amriswil,,10a,8580,Rütistrasse,Migros,Q680727,de:Migros,migros_bank;postfinance_card,no,no,checkout,,Migros,Genossenschaft Migros Ostschweiz,supermarket,,POINT (9.2976249 47.5466147),"Mo-Fr 07:30-20:00, Sa 07:30-18:00; PH off",,,,,,,,Migros Amriswil (MM),Amriswil,https://filialen.migros.ch/de/migros-supermarkt-amriswil,,,,,,,,,,,,,,,2019-09-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,node/10177846010,10177846010,node,,,,,,,,,,,,,,Migros,,,yes,POINT (9.2831567 47.3857081),,,,,parking_entrance,,,,,,,,,,,,,,,yes,,yes,,underground,,,,yes,yes,concrete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,node/10177846016,10177846016,node,,,,,,Migros,Q680727,,,,,,,Migros,,supermarket,,POINT (9.2836242 47.3860409),,,,,,,,,,,,,,,,,,,,,,,,,,2022-11-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,way/38541254,38541254,way,Appenzell,,42,9050,Zielstrasse,Migros,Q680727,en:Migros,postfinance_card,no,no,checkout,,Migros,Migros Ostschweiz,supermarket,yes,"POLYGON ((9.4068107 47.3348611, 9.407718 47.3350783, 9.407755 47.3350069, 9.4078802 47.3350367, 9.4079939 47.3348159, 9.4072551 47.3346299, 9.4071443 47.3346043, 9.4070336 47.3345787, 9.4070207 47.3345769, 9.4069493 47.3347182, 9.4069014 47.3347072, 9.4068988 47.3347653, 9.4069218 47.3347708, 9.4069089 47.3347949, 9.406896 47.334819, 9.406836 47.3348049, 9.4068107 47.3348611))",,,"[456176147, 1726996030, 1726996024, 456176148, 456176149, 4197474294, 9011996691, 456176159, 9011996698, 9011996697, 9011996694, 9011996695, 9011996696, 9011996690, 9011996692, 9011996693, 456176147]",yes,,,,,,,,,geodieste.ch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
