,unique_id,osmid,element_type,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,brand,brand:wikidata,brand:wikipedia,cash_withdrawal,cash_withdrawal:fee,cash_withdrawal:purchase_required,cash_withdrawal:type,name,name:de,opening_hours,operator,phone,shop,geometry,wheelchair,access,amenity,fee,layer,parking,branch,nodes,building,toilets:wheelchair,alt_name,ele,website,diet:halal,diet:kosher,internet_access,check_date:opening_hours,payment:cash,payment:debit_cards,entrance,level,source,opening_hours:covid19,payment:coins,payment:credit_cards,fixme,addr:place,indoor,payment:twint,bus,highway,network,public_transport,uic_name,uic_ref,wheelchair:description,access:covid19,changing_table,organic,fax,contact:phone,addr:state,building:roof,addr:housename,contact:website,smoothness,surface,payment:cryptocurrencies,payment:maestro,payment:mastercard,payment:postfinance_card,payment:visa,start_date,capacity:disabled,maxstay,source:opening_hours,takeaway,check_date,capacity,operator:wikidata,name:en,building:material,roof:colour,building:levels,roof:shape,roof:levels,park_ride,supervised,post_box:location,kids_area,internet_access:fee,description,emergency,emergency:phone,delivery:covid19,room,wikidata,lit,disused:shop,operator:type,payment:contactless,toilets,payment:notes,payment:telephone_cards,toilets:access,smoking,landuse
10,node/206357901,206357901,node,Luzern,,53,6006,Kreuzbuchstrasse,Migros,Q680727,de:Migros,migros_bank;postfinance_card,,,,Migros,,"Mo-Th 08:00-19:00, Fr 08:00-20:00, Sa 08:00-17:00; PH off",Genossenschaft Migros Luzern,,supermarket,POINT (8.3398988 47.0544427),,,,,,,Luzern Würzenbach,,,,Migros Würzenbach,,https://filialen.migros.ch/de/migros-supermarkt-luzern-wuerzenbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,node/279155942,279155942,node,,,,,,,,,,,,,Migros,,,,,,POINT (8.2915624 47.1659554),,customers,parking,yes,,multi-storey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,node/279155943,279155943,node,Hochdorf,,5,6280,Hauptstrasse,Migros,Q680727,de:Migros,,,,,Migros,,"Mo-Th 08:00-19:00, Fr 08:00-20:00, Sa 08:00-17:00; PH off",Genossenschaft Migros Luzern,,supermarket,POINT (8.2914109 47.1661059),,,,,,,Hochdorf Seetal-Center,,,,Migros Hochdorf (MM),,https://filialen.migros.ch/de/migros-supermarkt-hochdorf-seetal-center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,node/340481159,340481159,node,Buchrain,,,6033,Unterdorfstrasse,Migros,Q680727,de:Migros,migros_bank;postfinance_card,no,no,checkout,Migros,,"Mo-Fr 08:00-19:00, Sa 08:00-17:00; PH off",Genossenschaft Migros Luzern,,supermarket,POINT (8.3488772 47.0954321),yes,,,,,,Buchrain Tschannhof,,,yes,Migros Buchrain,,https://filialen.migros.ch/de/migros-supermarkt-buchrain-tschannhof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,node/385235761,385235761,node,Wolhusen,,36,6110,Entlebucherstrasse,Migros,Q680727,de:Migros,,,,,Migros,,"Mo-Th 08:00-19:00, Fr 08:00-21:00, Sa 08:00-17:00; PH off",Genossenschaft Migros Luzern,,supermarket,POINT (8.0703718 47.0559837),,,,,,,Wolhusen Dorfmärt,,,,Migros Wolhusen (MM),,https://filialen.migros.ch/de/migros-supermarkt-wolhusen-dorfmaert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,node/442702205,442702205,node,,,,,,Migros,Q680727,de:Migros,migros_bank;postfinance_card,no,no,checkout,Migros,,"Mo-Th 08:00-19:00, Fr 08:00-21:00, Sa 08:00-17:00; PH off",Genossenschaft Migros Luzern,,supermarket,POINT (8.275256 47.0778381),yes,,,,,,Emmenbrücke Sonnenplatz,,,,Migros Emmenbrücke (MM),,https://filialen.migros.ch/de/migros-supermarkt-emmenbruecke-sonnenplatz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,node/506648661,506648661,node,Luzern,,66,6005,Tribschenstrasse,Migros,Q680727,en:Migros,,,,,Migros,,"Mo-Fr 07:00-19:00, Sa 07:00-17:00; PH off",Genossenschaft Migros Luzern,,supermarket,POINT (8.3168248 47.0423384),yes,,,,,,Luzern Tribschenstrasse,,,,Migros Tribschenstrasse,,https://filialen.migros.ch/de/migros-supermarkt-luzern-tribschenstrasse,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,node/528141420,528141420,node,Willisau,,14,6130,Ettiswilerstrasse,Migros,Q680727,en:Migros,,,,,Migros,,"Mo-Th 08:00-19:00, Fr 08:00-21:00, Sa 07:30-17:00; PH off",Genossenschaft Migros Luzern,+41 41 672 61 61,supermarket,POINT (7.9947253 47.1235426),,,,,,,Willisau Chrüzhof,,,,Migros Willisau,,https://filialen.migros.ch/de/migros-supermarkt-willisau-chruezhof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,node/594574148,594574148,node,Sursee,,28,6210,Bahnhofstrasse,Migros,Q680727,de:Migros,,,,,Migros,,Mo-Fr 08:00-19:00; Th 08:00-21:00; Sa 08:00-17:00; PH off,Genossenschaft Migros Luzern,,supermarket,POINT (8.1021662 47.1728168),yes,,,,,,Sursee Surseepark,,,yes,Migros Surseepark (MMM),,https://filialen.migros.ch/de/migros-supermarkt-surseepark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,node/1069059529,1069059529,node,Luzern,,58,6003,Winkelriedstrasse,Migros,Q680727,de:Migros,,,,,Migros,,Mo-Fr 08:00-19:00; Fr 08:00-20:00; Sa 08:00-17:00; PH off,Genossenschaft Migros Luzern,,supermarket,POINT (8.3072505 47.0461309),yes,,,,,,Luzern Waldstätter,,,,Migros Waldstätter,,https://filialen.migros.ch/de/migros-supermarkt-luzern-waldstaetter,,,wlan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,node/1083855663,1083855663,node,Horw,,14-15,6048,Gemeindehausplatz,Migros,Q680727,de:Migros,migros_bank;postfinance_card,no,no,checkout,Migros,,"Mo-Th 08:00-19:00, Fr 08:00-20:00, Sa 08:00-17:00; PH off",Genossenschaft Migros Luzern,,supermarket,POINT (8.309215 47.019095),yes,,,,,,Horw,,,,Migros Horw,,https://filialen.migros.ch/de/migros-supermarkt-horw,,,,2022-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,node/1145599864,1145599864,node,Emmenbrücke,,50,6020,Seetalstrasse,Migros,Q680727,de:Migros,migros_bank;postfinance_card,no,no,checkout,Migros,,"Mo-Th 09:00-19:00, Fr 09:00-21:00, Sa 08:00-17:00; PH off",Genossenschaft Migros Luzern,,supermarket,POINT (8.2922426 47.0737083),yes,,,,,,Emmen Wohncenter,,,,Migros Emmen (MM),,https://filialen.migros.ch/de/migros-supermarkt-emmen-wohncenter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,node/1191792633,1191792633,node,Emmenbrücke,,3,6020,Kapfstrasse,Migros,Q680727,de:Migros,migros_bank;postfinance_card,no,no,checkout,Migros,,"Mo-Th 08:00-19:00, Fr 08:00-20:00, Sa 08:00-17:00; PH off",Genossenschaft Migros Luzern,,supermarket,POINT (8.2738856 47.0898165),limited,,,,,,Emmen Kapf,,,,Migros Kapf,,https://filialen.migros.ch/de/migros-supermarkt-emmen-kapf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,node/1254632070,1254632070,node,Luzern,,23,6005,Langensandstrasse,Migros,Q680727,en:Migros,migros_bank;postfinance_card,no,no,checkout,Migros,,"Mo-Th 08:30-19:00, Fr 08:30-21:00, Sa 08:00-17:00; PH off",Genossenschaft Migros Luzern,,supermarket,POINT (8.3282536 47.0374219),yes,,,,,,Luzern Schönbühl,,,,Migros Schönbühl (MM),,https://filialen.migros.ch/de/migros-supermarkt-luzern-schoenbuehl,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,node/1334477909,1334477909,node,Luzern,,2,6006,Mettenwylstrasse,Migros,Q680727,,,,,,Migros,,"Mo-Fr 08:00-12:15,13:30-19:00, Sa 08:00-17:00; PH off",Genossenschaft Migros Luzern,,supermarket,POINT (8.3155116 47.0605745),,,,,,,Luzern Wesemlin,,,,Migros Partner Wesemlin,,https://filialen.migros.ch/de/migros-partner-luzern-wesemlin,,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,node/1351032263,1351032263,node,Luzern,,18,6003,Bruchstrasse,Migros,Q680727,de:Migros,,,,,Migros,,Mo-Fr 08:00-19:00; Fr 08:00-20:00; Sa 08:00-17:00; PH off,Genossenschaft Migros Luzern,,supermarket,POINT (8.2993724 47.0505994),,,,,,,Luzern Bruchstrasse,,,,Migros Bruchstrasse,,https://filialen.migros.ch/de/migros-supermarkt-luzern-bruchstrasse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,node/1369379077,1369379077,node,,,,,,Migros,Q680727,de:Migros,migros_bank;postfinance_card,no,no,checkout,Migros,,"Mo-Th 08:00-19:00, Fr 08:00-20:00, Sa 08:00-17:00; PH off",Genossenschaft Migros Luzern,,supermarket,POINT (8.274562 47.0616861),yes,,,,,,Ruopigen,,,,Migros Ruopigen,,https://filialen.migros.ch/de/migros-supermarkt-ruopigen-zentrum-luzern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,node/1410077849,1410077849,node,Schüpfheim,,1,6170,Vormüli,Migros,Q680727,en:Migros,migros_bank;postfinance_card,no,no,checkout,Migros,,"Mo-Th 08:00-19:00, Fr 08:00-20:00, Sa 08:00-17:00; PH off",Genossenschaft Migros Luzern,+41 41 484 11 08,supermarket,POINT (8.0153395 46.9487883),,,,,,,Schüpfheim,,,,Migros Schüpfheim,,https://filialen.migros.ch/de/migros-supermarkt-schuepfheim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,node/1560009340,1560009340,node,Sarnen,,5,6060,Nelkenstrasse,Migros,Q680727,de:Migros,migros_bank;postfinance_card,no,no,checkout,Migros,,"Mo-Fr 08:00-20:00, Sa 08:00-18:00; PH off",Genossenschaft Migros Luzern,+41 41 666 53 33,supermarket,POINT (8.2498547 46.8968476),yes,,,,,,Sarnen Center,,,yes,Migros Sarnen (MM),,https://filialen.migros.ch/de/migros-supermarkt-sarnen-sarnen-center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,node/1739677580,1739677580,node,Hergiswil NW,,15,6052,Seestrasse,Migros,Q680727,de:Migros,,,,,Migros,,Mo-Fr 07:30-19:00; Sa 07:30-18:00; PH off,Genossenschaft Migros Luzern,,supermarket,POINT (8.3115307 46.9842701),,,,,,,Hergiswil NW,,,,Migros Hergiswil,,https://filialen.migros.ch/de/migros-supermarkt-hergiswil-nw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,node/1841821791,1841821791,node,Luzern,,46,6005,Zihlmattweg,Migros,Q680727,en:Migros,,,,,Migros,,"Mo-Th 08:00-19:00, Fr 08:00-20:00, Sa 08:00-17:00; PH off",Genossenschaft Migros Luzern,+41 41 414 48 40,supermarket,POINT (8.3046528 47.0313468),yes,,,,,,Luzern Allmend,,,,Migros Allmend,,https://filialen.migros.ch/de/migros-supermarkt-luzern-allmend,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,node/2078966782,2078966782,node,Ruswil,,79,6017,Rüediswilerstrasse,Migros,Q680727,de:Migros,migros_bank;postfinance_card,no,no,checkout,Migros,,"Mo-Th 08:00-19:00, Fr 08:00-20:00, Sa 08:00-17:00; PH off",Genossenschaft Migros Luzern,,supermarket,POINT (8.1128659 47.0882122),yes,,,,,,Ruswil,,,,Migros Ruswil,,https://filialen.migros.ch/de/migros-supermarkt-ruswil,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,node/2533251313,2533251313,node,Sempach Station,,11,6203,Mettenwilstrasse,Migros,Q680727,de:Migros,migros_bank;postfinance_card,no,no,checkout,Migros,,"Mo-Th 07:30-19:00, Fr 07:30-20:00, Sa 07:30-17:00; PH off",Genossenschaft Migros Luzern,,supermarket,POINT (8.1995094 47.1169875),yes,,,,,,Sempach Station,,,,Migros Sempach Station,,https://filialen.migros.ch/de/migros-supermarkt-sempach-station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,node/2896643846,2896643846,node,Zell,CH,2,6144,Zelgmatte,Migros,Q680727,de:Migros,migros_bank;postfinance_card,no,no,checkout,Migros,,"Mo-Th 08:00-19:00, Fr 08:00-20:00, Sa 08:00-17:00; PH off",Genossenschaft Migros Luzern,+41 41 989 70 40 / +41 41 988 20 88,supermarket,POINT (7.9281581 47.1371274),,,,,,,Zell LU,,,,Migros Zell LU,,https://filialen.migros.ch/de/migros-supermarkt-zell,,,,,,,,,migros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,node/3148801527,3148801527,node,Stans,,2,6370,Bitzistrasse,Migros,Q680727,de:Migros,migros_bank;postfinance_card,no,no,checkout,Migros,,"Mo-Fr 09:00-20:00, Sa 08:00-18:00; PH off",Genossenschaft Migros Luzern,,supermarket,POINT (8.3549116 46.9654611),yes,,,,,,Stans Länderpark,,,,Migros Länderpark (MMM),,https://filialen.migros.ch/de/migros-supermarkt-stans-laenderpark,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,node/3902835036,3902835036,node,Kriens,,30,6010,Luzernerstrasse,Migros,Q680727,en:Migros,,,,,Migros,,"Mo-Th 08:00-19:00, Fr 08:00-21:00, Sa 08:00-17:00; PH off",Genossenschaft Migros Luzern,,supermarket,POINT (8.2826546 47.0337643),yes,,,,,,Kriens Hofmatt,,,,Migros Kriens (MM),,https://filialen.migros.ch/de/migros-supermarkt-kriens-hofmatt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,node/4062279173,4062279173,node,,,,,,Migros,Q680727,de:Migros,migros_bank;postfinance_card,,,,Migros,,"Mo-Th 08:00-19:00, Fr 08:00-20:00, Sa 08:00-17:00; PH off",Genossenschaft Migros Luzern,,supermarket,POINT (8.2497249 47.1269137),,,,,,,Rain,,,,Migros Rain,,https://filialen.migros.ch/de/migros-supermarkt-rain,,,,,yes,yes,,,,same,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,node/4931591722,4931591722,node,Luzern,,6,6004,Friedentalstrasse,Migros,Q680727,de:Migros,migros_bank;postfinance_card,no,no,checkout,Migros,,"Mo-Th 08:00-19:00, Fr 08:00-20:00, Sa 08:00-17:00; PH off",Genossenschaft Migros Luzern,,supermarket,POINT (8.3077943 47.0612692),,,,,,,Luzern Schlossberg,,,,Migros Schlossberg,,https://filialen.migros.ch/de/migros-supermarkt-luzern-schlossberg,,,,2021-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,node/5602979356,5602979356,node,,,,,Würzenbachstrasse,Migros,Q680727,en:Migros,postfinance_card,no,no,checkout,Migros,,Mo-Th 10:00-18:30; Fr 10:00-20:00; Sa 10:00-16:00,,,supermarket,POINT (8.3435784 47.0550399),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,node/6088196574,6088196574,node,Luzern,,143,6014,Luzernerstrasse,Migros,Q680727,de:Migros,,,,,Migros,,"Mo-Th 08:00-19:00, Fr 08:00-20:00, Sa 08:00-17:00; PH off",Genossenschaft Migros Luzern,,supermarket,POINT (8.262399 47.0490532),,,,,,,Littau Grossmatte,,,,Migros Littau Grossmatte,,https://filialen.migros.ch/de/migros-supermarkt-luzern-grossmatte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,node/6750927182,6750927182,node,Kriens,,2,6010,Am Mattenhof,Migros,Q680727,en:Migros,migros_bank;postfinance_card,no,no,checkout,Migros,,"Mo-Th 07:30-19:00, Fr 07:30-20:00, Sa 08:00-17:00; PH off",Genossenschaft Migros Luzern,,supermarket,POINT (8.3009461 47.0276194),yes,,,,,,Kriens Mattenhof,,,,Migros Kriens Mattenhof,,https://filialen.migros.ch/de/migros-supermarkt-kriens-mattenhof,,,,2022-10-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,node/7390289540,7390289540,node,Ebikon,,1,6030,Ebisquare-Strasse,Migros,Q680727,en:Migros,,,,,Migros,,"Mo-Th 09:00-19:00, Fr 09:00-21:00, Sa 08:00-17:00; PH off",Genossenschaft Migros Luzern,,supermarket,POINT (8.3575307 47.0936014),yes,,,,,,Ebikon Mall of Switzerland,,,,Migros Ebikon Mall (MMM),,https://filialen.migros.ch/de/migros-supermarkt-ebikon-mall-of-switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,node/7390289541,7390289541,node,Ebikon,,16,6030,Zentralstrasse,Migros,Q680727,de:Migros,,,,,Migros,,"Mo-Th 08:00-19:00, Fr 08:00-21:00, Sa 08:00-17:00; PH off",Genossenschaft Migros Luzern,,supermarket,POINT (8.3410776 47.0813405),yes,,,,,,Ebikon Ladengasse,,,,Migros Ebikon (MM),,https://filialen.migros.ch/de/migros-supermarkt-ebikon-ladengasse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
