,unique_id,osmid,element_type,cash_withdrawal,cash_withdrawal:fee,cash_withdrawal:purchase_required,cash_withdrawal:type,name,shop,geometry,brand,brand:wikidata,brand:wikipedia,addr:city,addr:country,addr:postcode,addr:street,opening_hours,toilets:wheelchair,wheelchair,operator,name:it,addr:suburb,contact:phone,nodes,addr:housenumber,branch,building,addr:housename,website,phone,bus,highway,public_transport,alt_name,check_date:opening_hours,organic,level,opening_hours:covid19,post_box:location,source,payment:twint,kids_area,internet_access,internet_access:fee,building:levels,delivery:covid19,indoor,room,name:de,access,amenity,fee,layer,parking,ele,diet:halal,diet:kosher,payment:cash,payment:debit_cards,payment:coins,payment:credit_cards,description,emergency,emergency:phone,fixme,addr:place,capacity:disabled,lit,maxheight,surface,covered,supervised,source:addr,landuse,building:part,payment:maestro,payment:mastercard,payment:visa,contact:addr:full,internet_access:ssid,disused:shop,contact:website,recycling:batteries,wheelchair:description,contact:addr,operator:wikidata,addr:full,opening_hours:url,post_office,post_office:letter_from,post_office:parcel_from,post_office:parcel_pickup,post_office:parcel_to,self_service,contact:city,contact:housenumber,contact:postcode,contact:street,addr:floor,check_date,payment:american_express,payment:contactless,payment:diners_club,payment:jcb,payment:postfinance_card,roof:levels,nat_name,url,recycling:electrical_appliances,smoking,capacity,changing_table,changing_table:location,addr:street:fr,dog,official_name,takeaway,man_made,surveillance,level:ref,recycling:cans,recycling:clothes,recycling:glass,recycling:paper,recycling:pe,recycling:pet,dogs,post_office:brand,atm,contact:facebook,contact:instagram,contact:linkedin,contact:pinterest,contact:twitter,contact:youtube,note,payment:visa_debit,fax,indoor_seating,outdoor_seating,opening_date,copyright,oa:imported_by,oa:lat,oa:lon,oa:version
15,node/805177065,805177065,node,postfinance_card,no,no,checkout,Migros,supermarket,POINT (8.8108981 46.1753807),Migros,Q680727,en:Migros,,,,Via San Gottardo,"Mo-We, Fr 08:00-18:30; Th 08:00-20:00; Sa 08:00-17:00",,yes,,,,,,,,,,,+41918217730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,node/805884912,805884912,node,postfinance_card,no,no,checkout,Migros,supermarket,POINT (8.7824406 46.1684821),Migros,Q680727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,node/806598496,806598496,node,postfinance_card,no,no,checkout,Migros,supermarket,POINT (8.7737223 46.1541722),Migros,Q680727,,,,,,Mo-Fr 08:00-19:00; Sa 08:00-18:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,node/880838966,880838966,node,postfinance_card,no,no,checkout,Migros,supermarket,POINT (8.7053665 46.2455532),Migros,Q680727,en:Migros,,,,,Mo-Fr 08:00-19:00; Sa 08:00-18:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,node/2745111745,2745111745,node,postfinance_card,no,no,checkout,Migros,supermarket,POINT (8.8001178 46.4779593),Migros,Q680727,en:Migros,Faido,,6760,Via Pian della Croce,"Mo-We, Fr 08:00-18:30, 09:00-18:00; Th 08:00-12:30, 14:00-20:00; Sa 08:00-18:00",,,Migros,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,node/3040046067,3040046067,node,,,,,Migros,,POINT (8.7967103 46.1663789),,,,,,,,,,yes,,,,,,,,,,,,yes,bus_stop,platform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,node/6804197771,6804197771,node,postfinance_card,no,no,checkout,Migros,supermarket,POINT (8.8898475 46.1751077),Migros,Q680727,,,,,,Mo-Sa 07:30-18:30; Th 07:30-21:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,way/317171742,317171742,way,postfinance_card,no,no,checkout,Migros,supermarket,"POLYGON ((8.9722391 46.3537087, 8.9722549 46.3536659, 8.9722268 46.3536609, 8.9723783 46.3532511, 8.9728971 46.3533425, 8.9727826 46.3536521, 8.9726592 46.3537298, 8.9726227 46.3537234, 8.9726043 46.3537731, 8.9722391 46.3537087))",,,,,,,,,,,,,,,"[3234105295, 3234105296, 3234105297, 3234105298, 3234105299, 3234105300, 3234105301, 3234105302, 3234105303, 3234105295]",,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,node/1665613604,1665613604,node,,,,,Migros,supermarket,POINT (8.6500017 46.8251804),Migros,Q680727,de:Migros,Erstfeld,,6472,Gotthardstrasse,"Mo-Fr 07:30-18:30, Sa 07:30-17:00",,,Genossenschaft Migros Luzern,,,,,144,Erstfeld,,,https://filialen.migros.ch/de/migros-supermarkt-erstfeld,,,,,Migros Erstfeld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,node/2642259706,2642259706,node,migros_bank;postfinance_card,no,no,checkout,Migros,supermarket,POINT (8.6417406 46.8796927),Migros,Q680727,de:Migros,Altdorf UR,,6460,Gitschenstrasse,"Mo-Th 07:30-18:30, Fr 07:30-21:00, Sa 07:30-17:00",,yes,Genossenschaft Migros Luzern,,,,,14,Altdorf UR,,,https://filialen.migros.ch/de/migros-supermarkt-altdorf,,,,,Migros Altdorf,2022-11-14,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,node/7390289544,7390289544,node,migros_bank;postfinance_card,,,,Migros,supermarket,POINT (8.651044 46.8727406),Migros,Q680727,en:Migros,Altdorf UR,,6460,Gotthardstrasse,"Mo-Th 08:00-18:30, Fr 08:00-21:00, Sa 08:00-17:00",,,Genossenschaft Migros Luzern,,,,,67,Altdorf Urnertor,,,https://filialen.migros.ch/de/migros-supermarkt-buerglen-altdorf-urnertor,,,,,Migros Urnertor (MM),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,node/529971961,529971961,node,migros_bank;postfinance_card,no,no,checkout,Migros,supermarket,POINT (8.5183034 47.1731419),Migros,Q680727,en:Migros,Zug,,6300,Baarerstrasse,Mo-Fr 08:00-19:00; Th 08:00-21:00; Sa 08:00-17:00; PH off,,yes,Genossenschaft Migros Luzern,,,,,22,Zug Metalli,,,https://filialen.migros.ch/de/migros-supermarkt-zug-metalli,,,,,Migros Metalli (MM),,,-1,same,"Hinterbergstrasse 40, Einkaufszentrum Zugerland, 6312 Steinhausen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,node/939538237,939538237,node,migros_bank;postfinance_card,no,no,checkout,Migros,supermarket,POINT (8.4612037 47.1825379),Migros,Q680727,de:Migros,Cham,,6330,Zugerstrasse,Mo-Th 08:00-19:00; Fr 08:00-20:00; Sa 07:30-17:00; PH off,,yes,Genossenschaft Migros Luzern,,,,,15-17,Cham Neudorf,,,https://filialen.migros.ch/de/migros-supermarkt-cham-neudorf,,,,,Migros Cham,,,0,same,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,node/963198491,963198491,node,migros_bank;postfinance_card,no,no,checkout,Migros,supermarket,POINT (8.5793078 47.1381682),Migros,Q680727,de:Migros,Unterägeri,CH,6314,Zugerstrasse,"Mo-Th 07:30-19:00, Fr 07:30-20:00, Sa 07:30-17:00; PH off",,yes,Genossenschaft Migros Luzern,,,,,32,Unterägeri,,,https://filialen.migros.ch/de/migros-supermarkt-unteraegeri,+41 41 754 41 41,,,,Migros Unterägeri,,,,,,migros.ch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,node/1347029585,1347029585,node,,,,,Migros,supermarket,POINT (8.721596 47.1918481),Migros,Q680727,de:Migros,Wollerau,CH,8832,Roosstrasse,Mo-Sa 07:30-20:00; PH off,,,Genossenschaft Migros Zürich,,,,,23,Wollerau Roospark,,,https://filialen.migros.ch/de/migros-supermarkt-wollerau-maert-roospark,+41 58 563 52 50,,,,Migros Roospark,,,,,,Migros.ch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,node/1575842960,1575842960,node,migros_bank;postfinance_card,no,no,checkout,Migros,supermarket,POINT (8.6087819 46.9999926),Migros,Q680727,en:Migros,Brunnen,,6440,Bahnhofplatz,"Mo-Fr 08:00-19:00, Sa 08:00-17:00",,,Genossenschaft Migros Luzern,,,,,19,Brunnen Bahnhofsmärcht,,,https://filialen.migros.ch/de/migros-supermarkt-brunnen-bahnhofsmaercht,,,,,Migros Brunnen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,node/1989668103,1989668103,node,migros_bank;postfinance_card,no,no,checkout,Migros,supermarket,POINT (8.7932039 47.2004223),Migros,Q680727,en:Migros,Pfäffikon,,8808,Gwattstrasse,"Mo-Fr 09:00-21:00, Sa 08:00-18:00; PH off",,yes,Genossenschaft Migros Zürich,,,,,11,Pfäffikon Seedammcenter,,,https://filialen.migros.ch/de/migros-supermarkt-pfaeffikon-seedammcenter,,,,,Migros Seedammcenter (MM),,,0,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,node/2090983741,2090983741,node,migros_bank;postfinance_card,no,no,checkout,Migros,supermarket,POINT (8.5151339 47.16526),Migros,Q680727,de:Migros,Zug,,6300,Grabenstrasse,"Mo-Fr 08:00-19:00, Sa 08:00-17:00; PH off",,yes,Genossenschaft Migros Luzern,,,,,5,Zug Grabenstrasse,,,https://filialen.migros.ch/de/migros-supermarkt-zug-grabenstrasse,,,,,Migros Grabenstrasse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,node/2570311006,2570311006,node,migros_bank;postfinance_card,no,no,checkout,Migros,supermarket,POINT (8.8551943 47.1916974),Migros,Q680727,en:Migros,Lachen,CH,8853,Feldstrasse,"Mo-Fr 08:00-20:00, Sa 08:00-18:00; PH off",,yes,Genossenschaft Migros Zürich,,,,,6,Lachen Obersee-Center,,,https://filialen.migros.ch/de/migros-supermarkt-lachen,+41 55 451 85 30,,,,Migros Lachen (MM),,,1,,,migros.ch,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,node/2577948127,2577948127,node,migros_bank;postfinance_card,no,no,checkout,Migros,supermarket,POINT (8.7461406 47.1287297),Migros,Q680727,de:Migros,,,,,"Mo-Fr 08:00-20:00, Sa 08:00-18:00; PH off",,yes,Genossenschaft Migros Zürich,,,,,,Einsiedeln,,,https://filialen.migros.ch/de/migros-supermarkt-einsiedeln,+41 55 418 84 54,,,,Migros Einsiedeln (MM),,,-1,,,Migros.ch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,node/2866812512,2866812512,node,migros_bank;postfinance_card,no,no,checkout,Migros,supermarket,POINT (8.5509558 47.0508444),Migros,Q680727,de:Migros,Goldau,,6410,Parkstrasse,"Mo-Th 08:00-19:00, Fr 08:00-20:00, Sa 08:00-18:00; PH off",,,Genossenschaft Migros Luzern,,,,,25,Goldau,,,https://filialen.migros.ch/de/migros-supermarkt-goldau,,,,,Migros Goldau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,node/3510810512,3510810512,node,migros_bank;postfinance_card,no,no,checkout,Migros,supermarket,POINT (8.6458641 47.0154045),Migros,Q680727,de:Migros,Ibach,,6438,Mythencenterstrasse,"Mo-Th 09:00-20:00, Fr 09:00-21:00, Sa 08:00-18:00",,,Genossenschaft Migros Luzern,,,,,18,Ibach Mythen-Center,,,https://filialen.migros.ch/de/migros-supermarkt-ibach-schwyz-mythen-center,,,,,Migros Mythen-Center (MMM),,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,node/3847638104,3847638104,node,migros_bank;postfinance_card,no,no,checkout,Migros,supermarket,POINT (8.5248613 47.1955485),Migros,Q680727,en:Migros,Baar,,6340,Bahnhofstrasse,"Mo-Th 07:30-19:00, Fr 07:30-21:00, Sa 07:30-17:00; PH off",,yes,Genossenschaft Migros Luzern,,,,,5,Baar,,,https://filialen.migros.ch/de/migros-supermarkt-baar,,,,,Migros Baar,,,,,,,,,wlan,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,node/5580617894,5580617894,node,migros_bank;postfinance_card,no,no,checkout,Migros,supermarket,POINT (8.4848331 47.1971269),Migros,Q680727,de:Migros,Steinhausen,,6312,Bahnhofstrasse,Mo-Th 07:30-19:00; Fr 07:30-20:00; Sa 07:30-17:00; PH off,,,Genossenschaft Migros Luzern,,,,,2,Steinhausen Dorf,,,https://filialen.migros.ch/de/migros-supermarkt-steinhausen-dorf,,,,,Migros Steinhausen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,node/7390289542,7390289542,node,,,,,Migros,supermarket,POINT (8.505334 47.1779096),Migros,Q680727,en:Migros,Zug,,6300,Hertizentrum,"Mo-Th 07:30-19:00, Fr 07:30-20:00, Sa 07:30-17:00; PH off",,,Genossenschaft Migros Luzern,,,,,10,Zug Herti,,,https://filialen.migros.ch/de/migros-supermarkt-zug-herti,,,,,Migros Herti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,node/7390289543,7390289543,node,,,,,Migros,supermarket,POINT (8.7130911 47.1757272),Migros,Q680727,de:Migros,Schindellegi,,8834,Pfäffikonerstrasse,"Mo-Fr 08:00-20:00, Sa 08:00-18:00; PH off",,,Genossenschaft Migros Zürich,,,,,19,Schindellegi,,,https://filialen.migros.ch/de/migros-supermarkt-schindellegi,,,,,Migros Schindellegi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,node/9494808348,9494808348,node,,,,,Migros,supermarket,POINT (8.9691131 47.1727273),Migros,,,,,,,"Mo-Fr 07:30-20:00, Sa 07:30-18:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
